S.No.for plant,df,Plant type,Dose ,Mass,Leaf C %,Leaf N%,Root C%,Root N%,Amount of Carbon in Leaf(mg),Amount of Carbon in Root (mg),Amount of Nitrogen in Leaf(mg),Amount of Nitrogen in Root (mg),Leaf C:N (ratio),Root C:N (ratio)
1,A,L,UF_100 ,0.103,45.7,2.793,41.265,2.624,0.047,0.003,0.042,0.003,1.107,1.065
2,A,L,UF_100 ,0.105,43.789,2.884,40.489,2.634,0.045,0.003,0.042,0.003,1.082,1.095
3,A,L,UF_100 ,0.102,44.538,2.954,41.495,2.75,0.046,0.003,0.043,0.003,1.073,1.074
4,A,L,UF_100 ,0.105,44.786,2.712,41.423,2.44,0.046,0.003,0.043,0.003,1.081,1.112
5,A,L,UF_100 ,0.102,44.839,3.221,41.438,2.77,0.046,0.003,0.043,0.003,1.082,1.163
6,A,L,UF_200,0.105,NA,NA,NA,NA,na,na,na,na,na,na
7,A,L,UF_200,0.103,NA,NA,NA,NA,na,na,na,na,na,na
8,A,L,UF_200,0.101,NA,NA,NA,NA,na,na,na,na,na,na
9,A,L,UF_200,0.102,NA,NA,NA,NA,na,na,na,na,na,na
10,A,L,UF_200,0.102,NA,NA,NA,NA,na,na,na,na,na,na
11,A,L,MF_100,0.102,45.999,2.504,45.189,1.956,0.047,0.003,0.046,0.002,1.018,1.28
12,A,L,MF_100,0.102,46.531,2.655,45.883,2.132,0.048,0.003,0.047,0.002,1.014,1.246
13,A,L,MF_100,0.102,46.902,2.706,45.189,1.465,0.048,0.003,0.046,0.002,1.038,1.847
14,A,L,MF_100,0.102,46.95,2.504,45.883,1.756,0.048,0.003,0.047,0.002,1.023,1.426
15,A,L,MF_100,0.102,46.546,2.655,45.189,1.752,0.048,0.003,0.046,0.002,1.03,1.516
16,A,L,MF_200,0.101,46.5,2.706,45.883,2.154,0.048,0.003,0.047,0.002,1.013,1.256
17,A,L,MF_200,0.106,44.993,2.703,45.189,2.174,0.046,0.003,0.046,0.002,0.996,1.243
18,A,L,MF_200,0.103,45.484,2.726,45.883,1.837,0.047,0.003,0.047,0.002,0.991,1.484
19,A,L,MF_200,0.101,45.48,2.749,45.189,1.89,0.047,0.003,0.046,0.002,1.006,1.454
20,A,L,MF_200,0.107,46.454,2.772,45.883,1.967,0.048,0.003,0.047,0.002,1.012,1.409
21,A,L,C,0.107,46.898,2.795,45.189,1.837,0.048,0.003,0.046,0.002,1.038,1.522
22,A,L,C,0.103,47.034,2.818,45.883,1.89,0.048,0.003,0.047,0.002,1.025,1.491
23,A,L,C,0.105,47.34,2.842,45.189,1.967,0.049,0.003,0.046,0.002,1.048,1.445
24,A,L,C,0.102,46.152,2.865,45.883,1.756,0.047,0.003,0.047,0.002,1.006,1.632
25,A,L,C,0.105,46.195,2.903,45.854,1.992,0.048,0.003,0.047,0.002,1.007,1.457
1,B,P,UF_100 ,0.102,42.062,1.356,35.371,1.204,0.043,0.001,0.036,0.001,1.189,1.127
2,B,P,UF_100 ,0.105,41.51,1.667,35.347,1.253,0.043,0.002,0.036,0.001,1.174,1.33
3,B,P,UF_100 ,0.103,42.062,2.925,35.081,1.619,0.043,0.003,0.036,0.002,1.199,1.807
4,B,P,UF_100 ,0.101,41.51,1.297,32.767,0.859,0.043,0.001,0.034,0.001,1.267,1.509
5,B,P,UF_100 ,0.102,42.138,1.325,31.123,1.498,0.043,0.001,0.032,0.002,1.354,0.885
6,B,P,UF_200,0.102,41.51,1.45,32.66,0.892,0.043,0.001,0.034,0.001,1.271,1.626
7,B,P,UF_200,0.102,42.062,1.356,32.656,0.884,0.043,0.001,0.034,0.001,1.288,1.534
8,B,P,UF_200,0.102,41.51,1.354,38.571,0.983,0.043,0.001,0.04,0.001,1.076,1.378
9,B,P,UF_200,0.102,42.138,1.456,32.656,0.884,0.043,0.001,0.034,0.001,1.29,1.648
10,B,P,UF_200,0.102,42.062,1.45,38.571,0.983,0.043,0.001,0.04,0.001,1.091,1.476
11,B,P,MF_100,0.102,41.51,1.356,42.492,0.953,0.043,0.001,0.044,0.001,0.977,1.422
12,B,P,MF_100,0.101,41.753,1.667,41.35,0.964,0.043,0.002,0.043,0.001,1.01,1.728
13,B,P,MF_100,0.106,46.151,1.356,36.317,0.855,0.047,0.001,0.037,0.001,1.271,1.585
14,B,P,MF_100,0.103,40.617,1.667,33.019,0.643,0.042,0.002,0.034,0.001,1.23,2.59
15,B,P,MF_100,0.101,41.112,2.034,40.712,1.106,0.042,0.002,0.042,0.001,1.01,1.84
16,B,P,MF_200,0.107,46.151,1.736,40.766,0.862,0.047,0.002,0.042,0.001,1.132,2.015
17,B,P,MF_200,0.107,40.617,2.122,41.535,0.801,0.042,0.002,0.043,0.001,0.978,2.649
18,B,P,MF_200,0.102,42.062,1.736,41.123,0.82,0.043,0.002,0.042,0.001,1.023,2.118
19,B,P,MF_200,0.102,41.51,2.122,37.347,0.775,0.043,0.002,0.038,0.001,1.111,2.739
20,B,P,MF_200,0.101,41.753,0.801,37.846,0.7,0.043,0.001,0.039,0.001,1.103,1.145
21,B,P,C,0.106,46.151,0.82,42.466,0.686,0.047,0.001,0.044,0.001,1.087,1.194
22,B,P,C,0.103,42.854,0.963,42.822,0.651,0.044,0.001,0.044,0.001,1.001,1.479
23,B,P,C,0.101,42.062,0.801,44.116,0.94,0.043,0.001,0.045,0.001,0.953,0.853
24,B,P,C,0.107,41.51,0.82,37.807,0.952,0.043,0.001,0.039,0.001,1.098,0.861
25,B,P,C,0.107,41.753,0.775,41.115,0.792,0.043,0.001,0.042,0.001,1.016,0.978
