Sample Name,Weeks after planting ,Treatment,Plant type,Test Name,Sampling time point t0 (min),t1 (min),t2(min),Test Name,Surface Area of pot (m2),volume of pot (m3),Area,BF,t0,t1,t2,t0 temp (C),t1 temp (C),t2 temp (C),t0 (umol/L),t1 (umol/L),t2 (umol/L),BF_Slope (umol/L/min),4. Determine if above minimum detectable flux and calculate flux,"Flux, Fm (umol/m2/min)",BF_Minimum detectable flux (umol/min/m2),"5. Cleaned flux values (below MDF, p > 0.2, slope not correct direction):","Flux, Fm (umol/m2/min).1","Flux, Fm (umol/m2/hour)","Flux, Fm (mmol/m2/hour)","Flux, Fm (mg C/m2/hour)","Flux, Fm (mg CO2/m2/h)","Flux, Fm (kg CO2/ha/day)",Unnamed: 29,1st Day,t0.1,t1.1,t2.1,t0 temp (C),t1 temp (C),t2 temp (C),t0 (umol/L),t1 (umol/L),t2 (umol/L),BF_Slope (umol/L/min),4. Determine if above minimum detectable flux and calculate flux,"Flux, Fm (umol/m2/min)",1stDay_AF_Minimum detectable flux (umol/min/m2),3rd day,t0.2,t1.2,t2.2,t0 temp (C),t1 temp (C),t2 temp (C),t0 (umol/L),t1 (umol/L),t2 (umol/L),BF_Slope (umol/L/min),4. Determine if above minimum detectable flux and calculate flux,"Flux, Fm (umol/m2/min)",3rdDay_AF_Minimum detectable flux (umol/min/m2),5th day,t0.3,t1.3,t2.3,t0 temp (C),t1 temp (C),t2 temp (C),t0 (umol/L),t1 (umol/L),t2 (umol/L),BF_Slope (umol/L/min),4. Determine if above minimum detectable flux and calculate flux,"Flux, Fm (umol/m2/min)",5th_DayAF_Minimum detectable flux (umol/min/m2),7th day ,t0.4,t1.4,t2.4,t0 temp (C),t1 temp (C),t2 temp (C),t0 (umol/L),t1 (umol/L),t2 (umol/L),BF_Slope (umol/L/min),4. Determine if above minimum detectable flux and calculate flux,"Flux, Fm (umol/m2/min)",7st Day_AF_Minimum detectable flux (umol/min/m2)
A1,13,U100,L,CH4,0,30,60,CH4,0.12444,0.00510,20.05520,,2.08290,2.01190,1.83390,19.00000,20.12000,20.15000,0.08684,0.08356,0.07616,-0.00628,,-0.00026,0,,,-0.02,-0.00002,-0.00024,,-0.00002112,,,2.2261,1.8294,1.9823,19.00000,20.12000,20.15000,0.09281,0.07598,0.08232,-0.01192,,0.00000,0,,2.3178,1.7026,1.8522,19.00000,20.12000,20.15000,0.09663,0.07071,0.07692,-0.01998,,-0.00001,0,,1.9473,2.1366,2.0494,19.00000,20.12000,20.15000,0.00000,0.08088,0.08873,0.07481,,0.00002,1.90251E-05,,1.701,1.7663,2.1306,19.00000,20.12000,20.15000,0.00000,0.07065,0.07335,0.06345,,0.00002,1.61351E-05
A2,13,U100,L,CH4,0,30,60,CH4,0.12444,0.00510,16.85400,,1.70940,1.81970,1.71870,19.00000,20.12000,20.15000,0.07127,0.07558,0.07137,0.00187,,0.00008,7.66741E-05,,,0,0,0,,0,,,2.1047,1.7577,1.8166,19.00000,20.12000,20.15000,0.08775,0.07300,0.07544,-0.01187,,0.00000,0,,1.9171,1.9089,2.1946,19.00000,20.12000,20.15000,0.07993,0.07928,0.09114,0.00486,,0.00000,1.23556E-06,,1.7482,2.0203,1.6802,19.00000,20.12000,20.15000,0.00000,0.07261,0.08390,0.06911,,0.00002,1.75737E-05,,2.2238,2.0699,2.1419,19.00000,20.12000,20.15000,0.00000,0.09236,0.08596,0.07840,,0.00002,1.99375E-05
A3,13,U100,L,CH4,0,30,60,CH4,0.12444,0.00510,18.24070,,1.87120,2.17850,1.65950,19.00000,20.12000,20.15000,0.07801,0.09048,0.06892,0.00111,,0.00005,4.53416E-05,,,-0.02,-0.00002,-0.00024,,-0.00002112,,,2.1297,2.2514,2.2622,19.00000,20.12000,20.15000,0.08879,0.09351,0.09395,0.00435,,0.00000,1.10704E-06,,1.8394,1.8946,2.2709,19.00000,20.12000,20.15000,0.07669,0.07869,0.09431,0.00891,,0.00000,2.26596E-06,,2.1802,1.8041,2.0702,19.00000,20.12000,20.15000,0.00000,0.09055,0.07492,0.07258,,0.00002,1.84579E-05,,2.2221,1.7071,1.9385,19.00000,20.12000,20.15000,0.00000,0.09229,0.07089,0.07148,,0.00002,1.81761E-05
A6,13,U200,L,CH4,0,30,60,CH4,0.12444,0.00510,19.86830,,2.06110,1.79250,1.66410,19.00000,20.12000,20.15000,0.08593,0.07445,0.06911,-0.01256,,-0.00051,0,,,-0.03,-0.00003,-0.00036,,-0.00003168,,,1.9583,1.8456,1.9456,19.00000,20.12000,20.15000,0.08165,0.07665,0.08080,-0.00250,,0.00000,0,,1.7509,1.9066,2.1608,19.00000,20.12000,20.15000,0.07300,0.07919,0.08973,0.01028,,0.00000,2.61357E-06,,2.0013,2.1319,2.024,19.00000,20.12000,20.15000,0.00000,0.08312,0.08853,0.07567,,0.00002,1.92436E-05,,1.7684,2.2248,1.8049,19.00000,20.12000,20.15000,0.00000,0.07345,0.09239,0.07335,,0.00002,1.86525E-05
A7,13,U200,L,CH4,0,30,60,CH4,0.12444,0.00510,16.59970,,1.67980,1.85690,2.22460,19.00000,20.12000,20.15000,0.07003,0.07712,0.09238,0.01323,,0.00054,0.000542128,,,0.02,0.00002,0.00024,,0.00002112,,,1.8316,2.0967,1.7302,19.00000,20.12000,20.15000,0.07636,0.08708,0.07185,0.00247,,0.00000,6.27517E-07,,1.7442,1.8767,1.8864,19.00000,20.12000,20.15000,0.07272,0.07794,0.07834,0.00478,,0.00000,1.2161E-06,,2.2248,2.1631,2.1096,19.00000,20.12000,20.15000,0.00000,0.09240,0.08983,0.08019,,0.00002,2.03925E-05,,1.8537,2.2394,1.6139,19.00000,20.12000,20.15000,0.00000,0.07699,0.09300,0.07512,,0.00002,1.91041E-05
A8,13,U200,L,CH4,0,30,60,CH4,0.12444,0.00510,20.90160,,2.18160,2.11850,2.02810,19.00000,20.12000,20.15000,0.09095,0.08799,0.08422,-0.00434,,-0.00018,0,,,-0.01,-0.00001,-0.00012,,-0.00001056,,,1.7912,1.7887,2.0992,19.00000,20.12000,20.15000,0.07468,0.07429,0.08718,0.00556,,0.00000,1.413E-06,,2.2825,2.1509,2.2861,19.00000,20.12000,20.15000,0.09516,0.08933,0.09494,-0.00257,,0.00000,0,,2.1417,2.0526,1.7594,19.00000,20.12000,20.15000,0.00000,0.08895,0.08524,0.07663,,0.00002,1.94872E-05,,1.9752,1.7538,1.7143,19.00000,20.12000,20.15000,0.00000,0.08204,0.07283,0.06803,,0.00002,1.72992E-05
A11,13,M100,L,CH4,0,30,60,CH4,0.12444,0.00510,17.14210,,1.74300,1.93080,1.59950,19.00000,20.12000,20.15000,0.07267,0.08019,0.06642,0.00032,,0.00001,1.32133E-05,,,-0.01,-0.00001,-0.00012,,-0.00001056,,,2.1832,1.6444,1.775,19.00000,20.12000,20.15000,0.09102,0.06830,0.07371,-0.01753,,0.00000,0,,1.8005,2.027,1.9394,19.00000,20.12000,20.15000,0.07507,0.08419,0.08054,0.00636,,0.00000,1.61791E-06,,2.171,2.041,1.6504,19.00000,20.12000,20.15000,0.00000,0.09017,0.08476,0.07693,,0.00002,1.9562E-05,,2.2229,1.9859,1.9892,19.00000,20.12000,20.15000,0.00000,0.09232,0.08247,0.07679,,0.00002,1.95274E-05
A12,13,M100,L,CH4,0,30,60,CH4,0.12444,0.00510,19.09810,,1.97120,2.05500,1.59100,19.00000,20.12000,20.15000,0.08218,0.08535,0.06607,-0.00604,,-0.00025,0,,,-0.02,-0.00002,-0.00024,,-0.00002112,,,2.1467,2.0556,1.9554,19.00000,20.12000,20.15000,0.08950,0.08537,0.08120,-0.00554,,0.00000,0,,2.0762,2.1031,2.0778,19.00000,20.12000,20.15000,0.08656,0.08735,0.08629,0.00021,,0.00000,5.28138E-08,,2.0908,2.023,1.5962,19.00000,20.12000,20.15000,0.00000,0.08684,0.08401,0.07517,,0.00002,1.91168E-05,,1.8206,2.1589,1.8232,19.00000,20.12000,20.15000,0.00000,0.07561,0.08966,0.07301,,0.00002,1.85671E-05
A13,13,M100,L,CH4,0,30,60,CH4,0.12444,0.00510,16.98460,,1.72470,1.60100,1.70420,19.00000,20.12000,20.15000,0.07191,0.06649,0.07077,-0.00281,,-0.00012,0,,,-0.01,-0.00001,-0.00012,,-0.00001056,,,2.2262,2.0683,2.1142,19.00000,20.12000,20.15000,0.09281,0.08590,0.08780,-0.00522,,0.00000,0,,1.912,1.9168,1.6107,19.00000,20.12000,20.15000,0.07971,0.07961,0.06689,-0.00592,,0.00000,0,,1.8158,2.0211,1.4826,19.00000,20.12000,20.15000,0.00000,0.07541,0.08393,0.07031,,0.00002,1.78795E-05,,2.072,1.738,2.0462,19.00000,20.12000,20.15000,0.00000,0.08606,0.07218,0.06943,,0.00002,1.76551E-05
A16,13,M200,L,CH4,0,30,60,CH4,0.12444,0.00510,16.79640,,1.70270,1.96880,1.87300,19.00000,20.12000,20.15000,0.07099,0.08177,0.07778,0.00767,,0.00031,0.000314282,,,0,0,0,,0,,,2.0409,1.6601,2.2154,19.00000,20.12000,20.15000,0.08509,0.06895,0.09200,-0.00366,,0.00000,0,,1.8912,1.6822,1.775,19.00000,20.12000,20.15000,0.07885,0.06987,0.07371,-0.00615,,0.00000,0,,2.127,1.779,1.8888,19.00000,20.12000,20.15000,0.00000,0.08834,0.07388,0.07117,,0.00002,1.80989E-05,,2.2053,2.143,1.8926,19.00000,20.12000,20.15000,0.00000,0.09159,0.08900,0.07947,,0.00002,2.02083E-05
