Sample ID,Plant type,Fertilizer type,Dose (N kg/ha), Total Soil weight fw (g),%Soil Moisture,dw equivalent,Extraction volume(L),bray_P(mg/L),P(g/kg) dw soil,NH4 (mg/L),NH4(g/kg) dw soil,NO3(mg/L),NO3(g/kg) dw soil,SPAD Data (nmol ch/mg fresh weight) ,,Al_(ppm)_Leaf,Al_(ppm)_root,pH Harvest day,EC harvest day
A1,L,UF,100,0.5024,10,0.45216,0.025,34.5628,1.910982838,10.9955,0.607942985,11.5015,0.635919807,56.3,,-112,72,5.18,0.55
A2,L,UF,100,0.5046,8,0.464232,0.025,34.9417,1.881693851,12.0708,0.650041359,10.1911,0.548815032,54,,-116,104,4.47,0.66
A3,L,UF,100,0.5057,10,0.45513,0.025,31.563,1.733735416,28.238,1.551095291,39.9628,2.195131061,52.4,,-52,43,4.81,0.79
A4,L,UF,100,0.5042,9,0.458822,0.025,23.6521,1.288740514,-0.1814,-0.009884007,0.2645,0.014411907,50,,-96,120,5.12,0.82
A5,L,UF,100,0.5056,12,0.444928,0.025,28.3391,1.592341907,6.629,0.372475996,10.1599,0.570873265,53.2,,89,476,4.43,0.95
A6,L,UF,200,0.5038,10,0.45342,0.025,33.8756,1.86778263,39.4503,2.175152177,42.993,2.370484319,53.7,,0,0,5.07,0.8
A7,L,UF,200,0.5051,11,0.449539,0.025,30.015,1.669210013,7.7603,0.431569897,5.1004,0.283646135,47.3,,0,0,4.72,0.66
A8,L,UF,200,0.5036,11,0.448204,0.025,35.5492,1.982869408,36.3566,2.027904704,27.8398,1.552853165,46.8,,0,0,4.68,0.69
A9,L,UF,200,0.5037,12,0.443256,0.025,34.9825,1.973041538,43.649,2.461839208,38.8174,2.189333027,NA,,0,0,4.35,0.62
A10,L,UF,200,0.5027,10,0.45243,0.025,45.3437,2.505564397,9.893,0.546659152,9.3536,0.516853436,50.9,,0,0,4.93,0.75
A11,L,MF,100,0.5024,10,0.45216,0.025,28.3651,1.568310996,5.0594,0.27973505,3.3024,0.182590234,49.6,,-29,296,5.12,0.63
A12,L,MF,100,0.5046,8,0.464232,0.025,32.6682,1.759260456,7.5959,0.409057325,4.792,0.258060625,45.7,,-13,403,5.47,0.62
A13,L,MF,100,0.5057,10,0.45513,0.025,25.4996,1.40067673,7.6453,0.419951442,3.5284,0.193812757,48.9,,-27,353,5.36,0.6
A14,L,MF,100,0.5042,9,0.458822,0.025,25.9243,1.412546696,2.5318,0.137951101,2.8439,0.154956606,41,,-9,359,5.14,0.54
A15,L,MF,100,0.5056,12,0.444928,0.025,30.4599,1.711507255,7.4551,0.418893619,2.7644,0.155328503,43.2,,-65,627,5.34,0.59
A16,L,MF,200,0.5038,10,0.45342,0.025,31.5624,1.740240836,29.0603,1.602283755,19.8358,1.093676944,45.3,,-122,0,4.93,0.58
A17,L,MF,200,0.5051,11,0.449539,0.025,34.0643,1.894401821,-0.045,-0.002502564,0.9663,0.053738385,44.1,,464,0,4.64,0.57
A18,L,MF,200,0.5036,11,0.448204,0.025,29.5886,1.650398033,1.1172,0.062315374,2.5069,0.1398303,48,,-95,279,4.45,0.66
A19,L,MF,200,0.5037,12,0.443256,0.025,35.2242,1.986673615,19.2696,1.08682116,19.2962,1.088321421,47.7,,-100,348,4.31,0.6
A20,L,MF,200,0.5027,10,0.45243,0.025,28.8211,1.592572332,25.2608,1.39584024,19.6211,1.084206397,42.1,,-103,537,4.54,0.8
A21,L,None,0,0.5024,10,0.45216,0.025,24.9559,1.379815773,-0.1449,-0.008011545,0.976,0.053963199,50.9,,9,231,5.7,0.72
A22,L,None,0,0.5046,8,0.464232,0.025,28.029,1.509428475,-0.0093,-0.000500827,0.8643,0.046544616,46.8,,91,305,5.77,0.54
a23,L,None,0,0.5057,10,0.45513,0.025,15.6534,0.859831257,25.1304,1.38039681,4.2013,0.230774724,49.1,,81,206,5.33,0.57
A24,L,None,0,0.5042,9,0.458822,0.025,31.3801,1.70981884,17.6807,0.963374686,2.8233,0.153834167,47.6,,28,217,5.5,0.53
A25,L,None,0,0.5056,12,0.444928,0.025,28.2318,1.586312842,0.0733,0.004118644,0.9494,0.05334571,44.3,,71,257,5.88,0.52
B1,P,UF,100,0.5038,10,0.45342,0.025,20.7778,1.145615544,12.0782,0.665949892,11.2112,0.618146531,40,,127,978,5.25,0.71
B2,P,UF,100,0.5051,11,0.449539,0.025,14.4815,0.805352817,6.1764,0.343485215,4.7065,0.261740361,44.9,,121,1269,5.49,0.57
B3,P,UF,100,0.5036,11,0.448204,0.025,15.858,0.884530259,0.0659,0.003675782,1.4761,0.08233416,41.2,,68,824,5.27,0.58
B4,P,UF,100,0.5037,12,0.443256,0.025,16.4801,0.929491084,6.2086,0.350170105,5.6092,0.316363456,37.3,,72,1234,5.24,0.65
B5,P,UF,100,0.5027,10,0.45243,0.025,13.373,0.738954092,56.1851,3.104629445,58.9945,3.25986893,38.5,,251,778,5.05,0.58
B6,P,UF,200,0.5024,10,0.45216,0.025,34.3159,1.897331697,15.7324,0.869846957,13.3587,0.738604697,45.6,,197,685,4.34,0.52
B7,P,UF,200,0.5046,8,0.464232,0.025,38.0624,2.049750987,26.4384,1.423770873,13.2768,0.714987334,40.5,,155,1152,4.28,0.58
