,group,apH_First 7th,bHeight_First,cStem_First,dFresh biomass_First ,epH_Second,fEC_Second,gHeight_Second,hStem_Second,iCholorophyll_Second,jAmmonia_Second Lechates,kNitrate_Second Lechates,lPhosphate_Second Lechates
fBUF100_1,fBUF100,5.59,15.5,9,28.44,5.57,0.71,58,33,40,46.995,17.5552,0.162
fBUF100_2,fBUF100,5.54,15.8,8,34.05,5.66,0.57,67.5,29,44.9,85.166,74.5813,0.018
fBUF100_3,fBUF100,5.56,11.3,8,33.27,5.82,0.58,61.4,34,41.2,40.029,89.2935,0.007
fBUF100_4,fBUF100,5.45,16.5,9,29.23,5.52,0.65,56,35,37.3,66.572,82.8929,0.015
fBUF100_5,fBUF100,5.55,15.7,11,26.47,5.64,0.58,47,44,38.5,35.194,84.6768,0.047
gBUF200_1,gBUF200,5.1,12,9,38.58,5.17,0.52,60,37,45.6,83.472,87.1648,0.026
gBUF200_2,gBUF200,4.54,9.6,6,39.23,4.94,0.58,59.7,38,40.5,29.547,87.1075,0.026
gBUF200_3,gBUF200,4.9,14,10,33.17,5.21,0.57,75.3,36,41.9,82.916,91.1402,0.678
gBUF200_4,gBUF200,5.61,13.3,6,33.14,5.61,0.63,60,26,46.9,33.207,91.583,0.262
gBUF200_5,gBUF200,5.55,14.1,10,34.2,5.43,0.66,56,53,42.5,83.1,91.5195,0.584
hBCF100_1,hBCF100,5.42,11.4,8,10.25,5.34,0.51,39.5,25,22,0,2.381,0.298
hBCF100_2,hBCF100,5.48,13,7,8.78,4.88,0.66,39,15,22.9,7.07,91.4402,0.541
hBCF100_3,hBCF100,5.61,18,12,8.35,5.19,0.5,39.3,23,22,5.39,91.2978,0.683
hBCF100_4,hBCF100,5.42,16,7,11.8,5.32,0.51,53.6,15,18.1,1.091,91.0303,0.206
hBCF100_5,hBCF100,5.45,15,6,8.95,4.88,0.59,46,12,16.7,5.047,44.9928,0.154
iBCF200_1,iBCF200,5.48,14.5,9,9.84,4.73,0.46,39,17,18.9,26.982,45.1142,0.422
iBCF200_2,iBCF200,5.49,10.5,7,9.39,4.7,0.56,37.9,18,20.2,83.162,38.9386,0.362
iBCF200_3,iBCF200,5.45,12.2,9,9.18,4.83,0.75,37.6,22,21.6,28.589,35.313,0.803
iBCF200_4,iBCF200,5.44,12.8,9,8.83,4.56,0.53,33,20,19.2,83.285,19.245,0.354
iBCF200_5,iBCF200,5.51,11.1,9,8.28,4.43,0.65,37.8,20,19.1,62.889,0.0117,0.193
jBCK_1,jBCK,5.35,10.4,9,10,6.19,0.6,45.1,19,15.7,0,0.8762,0.063
jBCK_2,jBCK,5.49,10.5,6,13.32,6.25,0.68,59.3,10,21.2,0,0.0586,0.126
jBCK_3,jBCK,5.54,11.8,3,9.36,5.79,0.51,46.5,11,19.5,0,0.2339,0.175
jBCK_4,jBCK,5.43,11.8,4,7.3,6.26,0.61,44.2,17,19.8,0,0.0586,0.329
jBCK_5,jBCK,5.48,12.2,7,7.07,6.13,0.62,42.2,16,18.3,0,0.2339,0.406
