Sample ID,Plant type,Fertilizer type,Dose ,Methods,Result (P),Result(TC),Result(TN),Units,,Methods,Result (P),Result(TC),Result(TN),Units,,Calculation steps:,1. Convert mg/L to ug/g soil,Extraction volume (ml),Soil mass (g),Methods,Soil conc (ug P/g),Soil conc (ug C/g),Soil conc (ug N/g),Methods,Soil conc (ug P/g),Soil conc (ug C/g),Soil conc (ug N/g),,2. Subtract NF from F,Soil conc (ug P/g),Soil conc (ug C/g),Soil conc (ug N/g),,We can see that the number of >0 values is still the same. 
A1,L,UF,100,F,14.6186,107.7,9.678,mgP/L,,NF,13.5995,12.31,13.1,mgP/L,,,,25,5.5,F,66.4482,489.5454545,43.99090909,NF,61.8159,55.9545,59.5455,,,4.6323,433.5909,-15.5545,,This may be due to the variability in the run or the fact that some soils are difficult for extracting microbial CNP.
A2,L,UF,100,F,13.8043,95.41,16.4,mgP/L,,NF,15.0611,11.81,13.54,mgP/L,,,,25,5.56,F,62.0697,429.0017986,73.74100719,NF,67.7208,53.1025,60.8813,,,-5.6511,375.8993,12.8597,,
A3,L,UF,100,F,10.5112,118.8,9.21,mgP/L,,NF,11.9978,12.85,10.89,mgP/L,,,,25,5.76,F,45.6612,516.07298,40.0086881,NF,52.119,55.821,47.3067,,,-6.4579,460.252,-7.298,,
A4,L,UF,100,F,13.5564,109.3,9.532,mgP/L,,NF,13.4928,10.69,9.141,mgP/L,,,,25,5.56,F,60.955,491.4568345,42.85971223,NF,60.6691,48.0665,41.1016,,,0.286,443.3903,1.7581,,
A5,L,UF,100,F,12.1652,117.7,24.32,mgP/L,,NF,13.4748,11.43,23.36,mgP/L,,,,25,5.48,F,55.4982,536.9525547,110.9489051,NF,61.4726,52.1442,106.5693,,,-5.9745,484.8084,4.3796,,
A6,L,UF,200,F,7.382,112.9,133.6,mgP/L,,NF,9.5656,18.77,197.1,mgP/L,,,,25,5.76,F,32.0622,490.3578874,580.2640723,NF,41.5462,81.5236,856.0632,,,-9.484,408.8343,-275.7992,,
A7,L,UF,200,F,11.6092,97.98,284.7,mgP/L,,NF,10.1461,30.36,219.8,mgP/L,,,,25,5.76,F,50.4222,425.5559416,1236.535789,NF,44.0675,131.8624,954.656,,,6.3547,293.6935,281.8798,,
A8,L,UF,200,F,12.2563,93.2,226.6,mgP/L,,NF,11.7684,51.25,192.4,mgP/L,,,,25,5.5,F,55.7105,423.6363636,1030,NF,53.4927,232.9545,874.5455,,,2.2177,190.6818,155.4545,,
A9,L,UF,200,F,14.5273,29.4,104.8,mgP/L,,NF,15.5795,31.3,228.6,mgP/L,,,,25,5.56,F,65.3206,132.1942446,471.2230216,NF,70.0517,140.7374,1027.8777,,,-4.7311,-8.5432,-556.6547,,
A10,L,UF,200,F,14.2983,93.12,194.7,mgP/L,,NF,14.6186,17.36,155.4,mgP/L,,,,25,5.76,F,62.1125,404.5178106,845.7862728,NF,63.5039,75.4127,675.0652,,,-1.3914,329.1051,170.7211,,
A11,L,MF,100,F,13.4617,119.7,6.355,mgP/L,,NF,10.6437,12.54,0,mgP/L,,,,25,5.56,F,60.5292,538.2194245,28.57464029,NF,47.8584,56.3849,0,,,12.6709,481.8345,28.5746,,
A12,L,MF,100,F,11.2514,97.79,5.757,mgP/L,,NF,11.3185,17.56,0,mgP/L,,,,25,5.48,F,51.3294,446.1222628,26.26368613,NF,51.6355,80.1095,0,,,-0.3061,366.0128,26.2637,,
A13,L,MF,100,F,12.3646,126.9,5.655,mgP/L,,NF,10.8415,12.6,3.217,mgP/L,,,,25,5.76,F,53.7031,551.1640028,24.56132731,NF,47.0878,54.7255,13.9724,,,6.6153,496.4385,10.589,,
A14,L,MF,100,F,10.6577,117.3,6.94,mgP/L,,NF,10.2878,19.82,0,mgP/L,,,,25,5.76,F,46.2895,509.4683808,30.14246004,NF,44.6829,86.0841,0,,,1.6066,423.3843,30.1425,,
A15,L,MF,100,F,11.211,110.4,6.125,mgP/L,,NF,10.5228,10.45,1.868,mgP/L,,,,25,5.5,F,50.9591,501.8181818,27.84090909,NF,47.8309,47.5,8.4909,,,3.1282,454.3182,19.35,,
A16,L,MF,200,F,11.9812,139.3,5.273,mgP/L,,NF,9.6999,14.62,0,mgP/L,,,,25,5.56,F,53.8723,626.3489209,23.70953237,NF,43.6147,65.7374,0,,,10.2576,560.6115,23.7095,,
A17,L,MF,200,F,12.0301,80.85,11.33,mgP/L,,NF,12.2614,10.92,3.867,mgP/L,,,,25,5.76,F,52.2593,351.2163336,49.21807124,NF,53.2641,47.437,16.7984,,,-1.0048,303.7793,32.4196,,
A18,L,MF,200,F,13.164,176.3,0,mgP/L,,NF,11.5396,11.62,6.483,mgP/L,,,,25,5.56,F,59.1906,792.7158273,0,NF,51.8867,52.2482,29.1502,,,7.304,740.4676,-29.1502,,
A19,L,MF,200,F,12.7713,163.2,0,mgP/L,,NF,11.8022,9.989,2.325,mgP/L,,,,25,5.48,F,58.2632,744.5255474,0,NF,53.8422,45.5703,10.6068,,,4.4211,698.9553,-10.6068,,
