S.No.for plant,df,Plant type,Fertilizer type,Dose (N kg/ha),Ionic strength (mol/L),pH_beforefertilization,pH_afterFertilization_7thday,pH_Afterfertilization_30days,pH Harvest day_after2ndfertilization_60thday,EC_beforefertilization,EC_Afterfertilization_30days,EC harvest day
1,A,L,UF,100,0.251,5.35,5.4,4.62,5.18,0.54,0.56,0.55
2,A,L,UF,100,0.251,5.49,5.42,4.9,4.47,0.6,0.62,0.66
3,A,L,UF,100,0.251,5.54,5.46,4.85,4.81,0.76,0.78,0.79
4,A,L,UF,100,0.251,5.43,5.38,4.94,5.12,0.78,0.8,0.82
5,A,L,UF,100,0.251,5.48,5.42,4.88,4.43,0.91,0.93,0.95
6,A,L,UF,200,0.503,5.52,4.64,4.98,5.07,0.77,0.79,0.8
7,A,L,UF,200,0.503,5.54,4.8,4.81,4.72,0.63,0.65,0.66
8,A,L,UF,200,0.503,5.56,4.78,4.87,4.68,0.56,0.58,0.69
9,A,L,UF,200,0.503,5.58,5.2,4.64,4.35,0.58,0.6,0.62
10,A,L,UF,200,0.503,5.6,5.3,4.74,4.93,0.7,0.72,0.75
11,A,L,MF,100,0.028,5.62,5.34,5.92,5.12,0.58,0.6,0.63
12,A,L,MF,100,0.028,5.64,5.45,5.41,5.47,0.6,0.62,0.62
13,A,L,MF,100,0.028,5.66,5.49,5.36,5.36,0.58,0.6,0.6
14,A,L,MF,100,0.028,5.68,5.22,5.06,5.14,0.52,0.54,0.54
15,A,L,MF,100,0.028,5.7,5.46,5.69,5.34,0.57,0.59,0.59
16,A,L,MF,200,0.056,5.72,5.45,4.79,4.93,0.47,0.49,0.58
17,A,L,MF,200,0.056,5.74,5.42,4.88,4.64,0.55,0.57,0.57
18,A,L,MF,200,0.056,5.76,5.36,4.77,4.45,0.64,0.66,0.66
19,A,L,MF,200,0.056,5.35,5.47,5.42,4.31,0.58,0.6,0.6
20,A,L,MF,200,0.056,5.49,5.46,5.22,4.54,0.78,0.8,0.8
21,A,L,None,0,0,5.54,5.46,6.37,5.7,0.7,0.72,0.72
22,A,L,None,0,0,5.43,5.55,6.27,5.77,0.52,0.54,0.54
23,A,L,None,0,0,5.48,5.48,5.87,5.33,0.55,0.57,0.57
24,A,L,None,0,0,5.52,5.47,5.66,5.5,0.51,0.53,0.53
25,A,L,None,0,0,5.54,5.46,5.81,5.88,0.5,0.52,0.52
1,B,P,UF,100,0.251,5.56,5.59,5.57,5.25,0.69,0.71,0.71
2,B,P,UF,100,0.251,5.58,5.54,5.66,5.49,0.55,0.57,0.57
3,B,P,UF,100,0.251,5.6,5.56,5.82,5.27,0.56,0.58,0.58
4,B,P,UF,100,0.251,5.62,5.45,5.52,5.24,0.63,0.65,0.65
5,B,P,UF,100,0.251,5.64,5.55,5.64,5.05,0.56,0.58,0.58
6,B,P,UF,200,0.503,5.66,5.1,5.17,4.34,0.5,0.52,0.52
7,B,P,UF,200,0.503,5.68,4.54,4.94,4.28,0.56,0.58,0.58
8,B,P,UF,200,0.503,5.7,4.9,5.21,4.49,0.55,0.57,0.57
9,B,P,UF,200,0.503,5.72,5.61,5.61,4.35,0.61,0.63,0.51
10,B,P,UF,200,0.503,5.74,5.55,5.43,4.47,0.64,0.66,0.59
11,B,P,MF,100,0.028,5.76,5.42,5.34,5.8,0.49,0.51,0.46
12,B,P,MF,100,0.028,5.35,5.48,4.88,5.17,0.64,0.66,0.56
13,B,P,MF,100,0.028,5.49,5.61,5.19,5.25,0.48,0.5,0.75
14,B,P,MF,100,0.028,5.54,5.42,5.32,5.19,0.49,0.51,0.63
15,B,P,MF,100,0.028,5.43,5.45,4.88,5.44,0.57,0.59,0.66
16,B,P,MF,200,0.056,5.48,5.48,4.73,4.64,0.44,0.46,0.51
17,B,P,MF,200,0.056,5.52,5.49,4.7,4.77,0.54,0.56,0.66
18,B,P,MF,200,0.056,5.54,5.45,4.83,4.84,0.73,0.75,0.5
19,B,P,MF,200,0.056,5.56,5.44,4.56,4.97,0.51,0.53,0.53
20,B,P,MF,200,0.056,5.58,5.51,4.43,4.75,0.63,0.65,0.65
21,B,P,None,0,0,5.6,5.35,6.19,5.78,0.58,0.6,0.6
22,B,P,None,0,0,5.62,5.49,6.25,5.76,0.66,0.68,0.68
23,B,P,None,0,0,5.64,5.54,5.79,5.81,0.49,0.51,0.51
24,B,P,None,0,0,5.66,5.43,6.26,5.65,0.59,0.61,0.61
25,B,P,None,0,0,5.68,5.48,6.13,5.9,0.6,0.62,0.62
