Row Labels,Sum of Result,Average of Result2
ak1,16.457,5.485666667
au1,12.998,4.332666667
bk1,38.984,12.99466667
bu10,21.883,7.294333333
C C B ,-0.025,-0.003571429
C C V,3.385,0.483571429
CA,2.347,0.782333333
CCB,-0.027,-0.003375
CCV,3.835,0.479375
cp,5.304,1.768
cr,1.25,0.416666667
cw,0.025,0.008333333
pk1,1.14,0.38
pk10,1.562,0.520666667
pu1,0.053,0.0265
pu1 ,0.03,0.03
RK1,0.512,0.256
RK10,19.081,6.360333333
RU1,4.689,1.563
RU10,2.239,0.746333333
STANDARD 0,0.004,0.004
STANDARD 1,0.005,0.005
STANDARD 90,0.011,0.011
STANDARD 91,0.022,0.022
STANDARD 92,0.038,0.038
STANDARD 93,0.089,0.089
STANDARD 94,0.173,0.173
STANDARD 95,0.335,0.335
WK1,4.482,1.494
WK10,8.953,2.984333333
WU1,13.83,4.61
WU10,2.717,0.905666667
(blank),,
Grand Total,166.381,1.770010638
