Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
C C V,,o-Phos 1,0.469,mg P/L,0.160514,Tue Aug 22 17:29:11 2023,1,1
C C B ,,o-Phos 1,-0.003,mg P/L,0.00414,Tue Aug 22 17:30:31 2023,1,1
HK71,,o-Phos 1,7.873,mg P/L,0.292293,Tue Aug 22 17:31:50 2023,1,9.09
HK710,,o-Phos 1,13.373,mg P/L,0.492833,Tue Aug 22 19:10:21 2023,1,9.09
HU71,,o-Phos 1,6.68,mg P/L,0.248789,Tue Aug 22 17:34:29 2023,1,9.09
PK71,,o-Phos 1,0.449,mg P/L,0.154044,Tue Aug 22 17:35:51 2023,1,1
PK710,,o-Phos 1,0.169,mg P/L,0.061361,Tue Aug 22 17:37:13 2023,1,1
PU710,,o-Phos 1,0.226,mg P/L,0.080107,Tue Aug 22 17:38:35 2023,1,1
PK710,,o-Phos 1,0.623,mg P/L,0.211582,Tue Aug 22 17:39:54 2023,1,1
HU710,,o-Phos 1,10.511,mg P/L,0.388473,Tue Aug 22 19:11:42 2023,1,9.09
HK71,,o-Phos 1,12.764,mg P/L,0.470653,Tue Aug 22 19:13:04 2023,1,9.09
HK710,,o-Phos 1,16.827,mg P/L,0.618815,Tue Aug 22 19:14:25 2023,1,9.09
C C V,,o-Phos 1,0.473,mg P/L,0.161914,Tue Aug 22 17:45:10 2023,1,1
C C B ,,o-Phos 1,-0.002,mg P/L,0.00463,Tue Aug 22 17:46:31 2023,1,1
HU71,,o-Phos 1,4.894,mg P/L,0.183652,Tue Aug 22 17:47:50 2023,1,9.09
PK71,,o-Phos 1,0.705,mg P/L,0.238755,Tue Aug 22 17:49:08 2023,1,1
HU710,,o-Phos 1,6.728,mg P/L,0.250554,Tue Aug 22 17:50:26 2023,1,9.09
HU710,,o-Phos 1,11.011,mg P/L,0.406728,Tue Aug 22 19:15:47 2023,1,9.09
HU71,,o-Phos 1,9.317,mg P/L,0.344942,Tue Aug 22 19:17:08 2023,1,9.09
PK71,,o-Phos 1,0.123,mg P/L,0.045992,Tue Aug 22 17:54:18 2023,1,1
PU71,,o-Phos 1,0.104,mg P/L,0.039558,Tue Aug 22 17:55:35 2023,1,1
HK71,,o-Phos 1,5.936,mg P/L,0.221654,Tue Aug 22 17:56:52 2023,1,9.09
PK71,,o-Phos 1,0.138,mg P/L,0.051053,Tue Aug 22 17:58:09 2023,1,1
PU71,,o-Phos 1,0.088,mg P/L,0.03431,Tue Aug 22 17:59:27 2023,1,1
C C V,,o-Phos 1,0.471,mg P/L,0.16136,Tue Aug 22 18:00:44 2023,1,1
C C B ,,o-Phos 1,-0.003,mg P/L,0.004287,Tue Aug 22 18:02:05 2023,1,1
PU710,,o-Phos 1,0.225,mg P/L,0.079918,Tue Aug 22 18:03:24 2023,1,1
PU710,,o-Phos 1,0.254,mg P/L,0.089254,Tue Aug 22 18:04:41 2023,1,1
RK71,,o-Phos 1,2.971,mg P/L,0.332625,Tue Aug 22 19:18:30 2023,1,3.01
RK71,,o-Phos 1,2.039,mg P/L,0.229904,Tue Aug 22 19:19:51 2023,1,3.01
RK71,,o-Phos 1,2.014,mg P/L,0.22717,Tue Aug 22 19:21:13 2023,1,3.01
RK710,,o-Phos 1,9.175,mg P/L,0.339772,Tue Aug 22 20:02:08 2023,1,9.09
RK710,,o-Phos 1,9.16,mg P/L,0.339219,Tue Aug 22 20:03:01 2023,1,9.09
RK710,,o-Phos 1,8.922,mg P/L,0.330528,Tue Aug 22 20:03:54 2023,1,9.09
RU71,,o-Phos 1,2.156,mg P/L,0.242846,Tue Aug 22 19:29:17 2023,1,3.01
RU71,,o-Phos 1,2.218,mg P/L,0.249698,Tue Aug 22 19:30:38 2023,1,3.01
C C V,,o-Phos 1,0.464,mg P/L,0.1591,Tue Aug 22 18:16:18 2023,1,1
C C B ,,o-Phos 1,-0.003,mg P/L,0.0042,Tue Aug 22 18:17:39 2023,1,1
RU71,,o-Phos 1,1.221,mg P/L,0.13973,Tue Aug 22 19:31:59 2023,1,3.01
RU710,,o-Phos 1,3.919,mg P/L,0.148114,Tue Aug 22 20:04:48 2023,1,9.09
HK710,,o-Phos 1,17.81,mg P/L,0.654629,Tue Aug 22 19:34:14 2023,1,9.09
RU710,,o-Phos 1,4.7,mg P/L,0.176604,Tue Aug 22 20:05:41 2023,1,9.09
WK71,,o-Phos 1,0.113,mg P/L,0.042786,Tue Aug 22 18:24:08 2023,1,1
WK71,,o-Phos 1,0.12,mg P/L,0.044958,Tue Aug 22 18:25:25 2023,1,1
PK710,,o-Phos 1,0.301,mg P/L,0.105147,Tue Aug 22 18:26:43 2023,1,1
WK71,,o-Phos 1,0.12,mg P/L,0.044899,Tue Aug 22 18:28:01 2023,1,1
WK710,,o-Phos 1,1.489,mg P/L,0.169322,Tue Aug 22 19:36:09 2023,1,3.01
RU710,,o-Phos 1,3.83,mg P/L,0.144861,Tue Aug 22 20:06:34 2023,1,9.09
C C V,,o-Phos 1,0.474,mg P/L,0.162439,Tue Aug 22 18:31:55 2023,1,1
C C B ,,o-Phos 1,-0.003,mg P/L,0.004329,Tue Aug 22 18:33:16 2023,1,1
WK710,,o-Phos 1,1.052,mg P/L,0.121147,Tue Aug 22 19:39:43 2023,1,3.01
WK710,,o-Phos 1,1.448,mg P/L,0.164824,Tue Aug 22 19:40:36 2023,1,3.01
WU71,,o-Phos 1,0.029,mg P/L,0.014969,Tue Aug 22 18:37:11 2023,1,1
WU71,,o-Phos 1,0.037,mg P/L,0.017558,Tue Aug 22 18:38:32 2023,1,1
WU710,,o-Phos 1,0.072,mg P/L,0.029193,Tue Aug 22 18:39:51 2023,1,1
WU71,,o-Phos 1,0.052,mg P/L,0.022597,Tue Aug 22 18:40:47 2023,1,1
WU710,,o-Phos 1,0.14,mg P/L,0.051679,Tue Aug 22 18:41:49 2023,1,1
WU710,,o-Phos 1,0.038,mg P/L,0.01767,Tue Aug 22 18:42:42 2023,1,1
PU10,,o-Phos 1,0.14,mg P/L,0.051471,Tue Aug 22 18:43:35 2023,1,1
PU10,,o-Phos 1,0.153,mg P/L,0.055884,Tue Aug 22 18:44:28 2023,1,1
C C V,,o-Phos 1,0.476,mg P/L,0.163136,Tue Aug 22 18:45:21 2023,1,1
C C B ,,o-Phos 1,-0.002,mg P/L,0.004472,Tue Aug 22 18:46:15 2023,1,1
PU10,,o-Phos 1,0.153,mg P/L,0.056012,Tue Aug 22 18:47:09 2023,1,1
RK1,,o-Phos 1,2.194,mg P/L,0.247015,Tue Aug 22 19:41:29 2023,1,3.01
C C V,,o-Phos 1,0.474,mg P/L,0.162284,Tue Aug 22 18:48:55 2023,1,1
C C B ,,o-Phos 1,-0.002,mg P/L,0.004505,Tue Aug 22 18:49:49 2023,1,1
CCV,,o-Phos 1,0.469,mg P/L,0.160552,Tue Aug 22 19:07:40 2023,1,1
CCB,,o-Phos 1,-0.003,mg P/L,0.004223,Tue Aug 22 19:09:01 2023,1,1
CCV,,o-Phos 1,0.475,mg P/L,0.162805,Tue Aug 22 19:23:55 2023,1,1
CCB,,o-Phos 1,-0.003,mg P/L,0.004057,Tue Aug 22 19:25:16 2023,1,1
CCV,,o-Phos 1,0.481,mg P/L,0.164513,Tue Aug 22 19:37:55 2023,1,1
CCB,,o-Phos 1,-0.003,mg P/L,0.004284,Tue Aug 22 19:38:49 2023,1,1
CCV,,o-Phos 1,0.473,mg P/L,0.162162,Tue Aug 22 19:42:23 2023,1,1
CCB,,o-Phos 1,-0.002,mg P/L,0.004514,Tue Aug 22 19:43:16 2023,1,1
CCV,,o-Phos 1,0.473,mg P/L,0.162137,Tue Aug 22 20:00:20 2023,1,1
CCB,,o-Phos 1,-0.004,mg P/L,0.003916,Tue Aug 22 20:01:14 2023,1,1
CCV,,o-Phos 1,0.481,mg P/L,0.164571,Tue Aug 22 20:07:27 2023,1,1
CCB,,o-Phos 1,-0.002,mg P/L,0.004514,Tue Aug 22 20:08:21 2023,1,1
