Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
STANDARD 1,,AMMONIA 10,  0.053,mg N_ L,0.052812,Fri Sep 01 12:43:21 2023,1,1
STANDARD 90,,AMMONIA 10,  0.071,mg N_ L,0.070790,Fri Sep 01 12:45:19 2023,1,1
STANDARD 91,,AMMONIA 10,  0.110,mg N_ L,0.109644,Fri Sep 01 12:47:17 2023,1,1
STANDARD 92,,AMMONIA 10,  0.149,mg N_ L,0.149057,Fri Sep 01 12:49:15 2023,1,1
STANDARD 93,,AMMONIA 10,  0.313,mg N_ L,0.313077,Fri Sep 01 12:51:13 2023,1,1
STANDARD 94,,AMMONIA 10,  0.498,mg N_ L,0.497583,Fri Sep 01 12:53:11 2023,1,1
STANDARD 95,,AMMONIA 10,  0.936,mg N_ L,0.936120,Fri Sep 01 12:55:10 2023,1,1
STANDARD 0,,AMMONIA 10,  0.053,mg N_ L,0.053142,Fri Sep 01 12:57:08 2023,1,1
CP,,AMMONIA 10, -0.022,mg N_ L,0.061546,Fri Sep 01 12:59:06 2023,1,1
BK1,,AMMONIA 10,  0.001,mg N_ L,0.063497,Fri Sep 01 13:01:05 2023,1,1
BK1,,AMMONIA 10, -0.049,mg N_ L,0.059148,Fri Sep 01 13:03:04 2023,1,1
AU1,,AMMONIA 10,  0.339,mg N_ L,0.093215,Fri Sep 01 13:05:02 2023,1,1
BK10,,AMMONIA 10, 26.770,mg N_ L,0.157414,Fri Sep 01 14:39:13 2023,1,25.00
CW,,AMMONIA 10,  1.989,mg N_ L,0.238016,Fri Sep 01 13:09:00 2023,1,1
PK1,,AMMONIA 10,  0.055,mg N_ L,0.068268,Fri Sep 01 13:10:59 2023,1,1
AU1,,AMMONIA 10,  2.408,mg N_ L,0.274770,Fri Sep 01 13:12:58 2023,1,1
AK1,,AMMONIA 10, -0.106,mg N_ L,0.054133,Fri Sep 01 13:14:57 2023,1,1
PK10,,AMMONIA 10, -0.039,mg N_ L,0.060010,Fri Sep 01 13:16:56 2023,1,1
PK10,,AMMONIA 10,  0.016,mg N_ L,0.064864,Fri Sep 01 13:18:55 2023,1,1
PU10,,AMMONIA 10,  0.332,mg N_ L,0.092569,Fri Sep 01 13:20:54 2023,1,1
BU10,,AMMONIA 10, 22.982,mg N_ L,0.144115,Fri Sep 01 14:40:51 2023,1,25.00
PK1,,AMMONIA 10, -0.020,mg N_ L,0.061666,Fri Sep 01 13:24:52 2023,1,1
PK10,,AMMONIA 10, -0.045,mg N_ L,0.059507,Fri Sep 01 13:26:50 2023,1,1
AK1,,AMMONIA 10, -0.018,mg N_ L,0.061834,Fri Sep 01 13:28:49 2023,1,1
PK1,,AMMONIA 10,  0.042,mg N_ L,0.067110,Fri Sep 01 13:30:47 2023,1,1
CW,,AMMONIA 10,  1.794,mg N_ L,0.220925,Fri Sep 01 13:32:45 2023,1,1
WK10,,AMMONIA 10,  2.586,mg N_ L,0.290365,Fri Sep 01 13:34:43 2023,1,1
RK1,,AMMONIA 10,  0.940,mg N_ L,0.145922,Fri Sep 01 13:36:40 2023,1,1
RK10,,AMMONIA 10,  0.963,mg N_ L,0.147941,Fri Sep 01 13:38:38 2023,1,1
WK1,,AMMONIA 10,  2.098,mg N_ L,0.247521,Fri Sep 01 13:40:36 2023,1,1
CA,,AMMONIA 10, -0.097,mg N_ L,0.054890,Fri Sep 01 13:42:34 2023,1,1
RK10,,AMMONIA 10,  1.180,mg N_ L,0.167023,Fri Sep 01 13:44:32 2023,1,1
WK1,,AMMONIA 10,  2.462,mg N_ L,0.279549,Fri Sep 01 13:46:29 2023,1,1
CA,,AMMONIA 10, -0.148,mg N_ L,0.050450,Fri Sep 01 13:48:27 2023,1,1
HU71,,AMMONIA 10,  1.191,mg N_ L,0.168004,Fri Sep 01 13:50:25 2023,1,1
WU710,,AMMONIA 10, 19.983,mg N_ L,0.133589,Fri Sep 01 14:42:30 2023,1,25.00
HU71,,AMMONIA 10,  0.037,mg N_ L,0.066721,Fri Sep 01 13:54:21 2023,1,1
PU71,,AMMONIA 10,  0.158,mg N_ L,0.077335,Fri Sep 01 13:56:19 2023,1,1
WU71,,AMMONIA 10,  4.144,mg N_ L,0.427121,Fri Sep 01 13:58:17 2023,1,1
RU710,,AMMONIA 10, 32.141,mg N_ L,0.176269,Fri Sep 01 14:44:09 2023,1,25.00
PU710,,AMMONIA 10, 13.626,mg N_ L,0.111272,Fri Sep 01 14:45:47 2023,1,25.00
PK71,,AMMONIA 10,  0.108,mg N_ L,0.072932,Fri Sep 01 14:03:52 2023,1,1
RK710,,AMMONIA 10,  1.170,mg N_ L,0.166104,Fri Sep 01 14:05:31 2023,1,1
HK71,,AMMONIA 10,  0.406,mg N_ L,0.099098,Fri Sep 01 14:07:10 2023,1,1
HU710,,AMMONIA 10, 25.699,mg N_ L,0.153653,Fri Sep 01 14:47:26 2023,1,25.00
HK710,,AMMONIA 10,  0.048,mg N_ L,0.067695,Fri Sep 01 14:10:27 2023,1,1
WK710,,AMMONIA 10,  2.240,mg N_ L,0.260001,Fri Sep 01 14:12:05 2023,1,1
RK1,,AMMONIA 10,  1.160,mg N_ L,0.165264,Fri Sep 01 14:13:44 2023,1,1
