Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
STANDARD 1,,Ammonia 2.0,0.0703,mg N/L,0.070284,Thu Aug 31 13:20:15 2023,1,1
STANDARD 1,,Nitrate 2,0.0057,mg N/L,0.005732,Thu Aug 31 15:03:17 2023,1,1
STANDARD 90,,Ammonia 2.0,0.1056,mg N/L,0.105626,Thu Aug 31 13:22:16 2023,1,1
STANDARD 90,,Nitrate 2,0.0174,mg N/L,0.017412,Thu Aug 31 15:05:22 2023,1,1
STANDARD 91,,Ammonia 2.0,0.1367,mg N/L,0.136688,Thu Aug 31 13:24:16 2023,1,1
STANDARD 91,,Nitrate 2,0.0359,mg N/L,0.035883,Thu Aug 31 15:07:28 2023,1,1
STANDARD 92,,Ammonia 2.0,0.1947,mg N/L,0.19467,Thu Aug 31 13:26:16 2023,1,1
STANDARD 92,,Nitrate 2,0.0558,mg N/L,0.055754,Thu Aug 31 15:09:33 2023,1,1
STANDARD 93,,Ammonia 2.0,0.353,mg N/L,0.353014,Thu Aug 31 13:28:17 2023,1,1
STANDARD 93,,Nitrate 2,0.1475,mg N/L,0.147476,Thu Aug 31 15:11:38 2023,1,1
STANDARD 94,,Ammonia 2.0,0.6216,mg N/L,0.621598,Thu Aug 31 13:30:18 2023,1,1
STANDARD 94,,Nitrate 2,0.2796,mg N/L,0.279637,Thu Aug 31 15:13:43 2023,1,1
STANDARD 95,,Ammonia 2.0,1.0946,mg N/L,1.094571,Thu Aug 31 13:32:19 2023,1,1
STANDARD 95,,Nitrate 2,0.5063,mg N/L,0.50628,Thu Aug 31 15:15:48 2023,1,1
STANDARD 0,,Ammonia 2.0,0.0726,mg N/L,0.072645,Thu Aug 31 13:34:20 2023,1,1
STANDARD 0,,Nitrate 2,0.0081,mg N/L,0.008099,Thu Aug 31 15:17:53 2023,1,1
C C V,,Ammonia 2.0,1.0033,mg N/L,0.600206,Thu Aug 31 13:36:21 2023,1,1
C C V,,Nitrate 2,0.9742,mg N/L,0.257153,Thu Aug 31 15:19:58 2023,1,1
C C B ,,Ammonia 2.0,-0.0304,mg N/L,0.072694,Thu Aug 31 13:38:22 2023,1,1
C C B ,,Nitrate 2,0.0263,mg N/L,0.017925,Thu Aug 31 15:22:03 2023,1,1
WU1,,Ammonia 2.0,1.7706,mg N/L,0.539978,Thu Aug 31 13:40:23 2023,1,2
WU1,,Nitrate 2,9.2764,mg N/L,0.479525,Thu Aug 31 15:24:07 2023,1,5
RK1,,Ammonia 2.0,0.5377,mg N/L,0.225399,Thu Aug 31 13:42:24 2023,1,2
RK1,,Nitrate 2,8.2118,mg N/L,0.218541,Thu Aug 31 17:21:14 2023,1,10
WK10,,Ammonia 2.0,1.2226,mg N/L,0.400167,Thu Aug 31 13:44:25 2023,1,2
WK10,,Nitrate 2,7.4828,mg N/L,0.388989,Thu Aug 31 15:28:16 2023,1,5
CP,,Ammonia 2.0,0.0535,mg N/L,0.10187,Thu Aug 31 13:46:26 2023,1,2
CP,,Nitrate 2,21.3886,mg N/L,0.281193,Thu Aug 31 18:30:06 2023,1,20
RU1,,Ammonia 2.0,2.0647,mg N/L,0.615005,Thu Aug 31 13:48:26 2023,1,2
RU1,,Nitrate 2,12.0807,mg N/L,0.316183,Thu Aug 31 17:25:24 2023,1,10
WK10,,Ammonia 2.0,1.3264,mg N/L,0.426644,Thu Aug 31 13:50:27 2023,1,2
WK10,,Nitrate 2,8.6288,mg N/L,0.446839,Thu Aug 31 15:34:30 2023,1,5
WK1,,Ammonia 2.0,0.9533,mg N/L,0.33145,Thu Aug 31 13:52:29 2023,1,2
WK1,,Nitrate 2,6.8409,mg N/L,0.356591,Thu Aug 31 15:36:34 2023,1,5
CA,,Ammonia 2.0,0.4669,mg N/L,0.326492,Thu Aug 31 16:52:44 2023,1,1
CA,,Nitrate 2,2.9817,mg N/L,0.161795,Thu Aug 31 15:38:39 2023,1,5
RU1,,Ammonia 2.0,2.013,mg N/L,0.601821,Thu Aug 31 13:56:32 2023,1,2
RU1,,Nitrate 2,11.6945,mg N/L,0.306435,Thu Aug 31 17:27:30 2023,1,10
WU1,,Ammonia 2.0,1.8881,mg N/L,0.569954,Thu Aug 31 13:58:34 2023,1,2
WU1,,Nitrate 2,8.9651,mg N/L,0.463813,Thu Aug 31 15:42:49 2023,1,5
C C V,,Ammonia 2.0,1.0386,mg N/L,0.618181,Thu Aug 31 14:00:35 2023,1,1
C C V,,Nitrate 2,0.9059,mg N/L,0.239921,Thu Aug 31 15:44:54 2023,1,1
C C B ,,Ammonia 2.0,-0.0381,mg N/L,0.068798,Thu Aug 31 14:02:38 2023,1,1
C C B ,,Nitrate 2,-0.0209,mg N/L,0.006025,Thu Aug 31 15:46:59 2023,1,1
RK10,,Ammonia 2.0,0.58,mg N/L,0.236204,Thu Aug 31 14:04:40 2023,1,2
RK10,,Nitrate 2,9.4376,mg N/L,0.249477,Thu Aug 31 17:29:35 2023,1,10
RU1,,Ammonia 2.0,-0.0108,mg N/L,0.085468,Thu Aug 31 14:06:41 2023,1,2
RU1,,Nitrate 2,-0.0663,mg N/L,0.007943,Thu Aug 31 15:51:08 2023,1,5
WU10,,Ammonia 2.0,4.5846,mg N/L,0.556105,Thu Aug 31 16:54:45 2023,1,5
WU10,,Nitrate 2,14.318,mg N/L,0.372648,Thu Aug 31 17:31:39 2023,1,10
WU10,,Ammonia 2.0,14.0905,mg N/L,0.807238,Thu Aug 31 18:03:32 2023,1,10
WU10,,Nitrate 2,18.4374,mg N/L,0.476612,Thu Aug 31 17:33:44 2023,1,10
RU10,,Ammonia 2.0,17.2049,mg N/L,0.966163,Thu Aug 31 18:05:32 2023,1,10
RU10,,Nitrate 2,20.5747,mg N/L,0.270922,Thu Aug 31 18:31:01 2023,1,20
RU10,,Ammonia 2.0,17.2937,mg N/L,0.970698,Thu Aug 31 18:07:32 2023,1,10
RU10,,Nitrate 2,24.6984,mg N/L,0.322959,Thu Aug 31 18:31:55 2023,1,20
PU1,,Ammonia 2.0,0.1632,mg N/L,0.129847,Thu Aug 31 14:16:46 2023,1,2
PU1,,Nitrate 2,21.8994,mg N/L,0.287639,Thu Aug 31 18:32:50 2023,1,20
AU1,,Ammonia 2.0,0.2993,mg N/L,0.164576,Thu Aug 31 14:18:47 2023,1,2
AU1,,Nitrate 2,5.0873,mg N/L,0.268076,Thu Aug 31 16:03:37 2023,1,5
BK10,,Ammonia 2.0,12.8146,mg N/L,0.74213,Thu Aug 31 18:09:11 2023,1,10
BK10,,Nitrate 2,15.4083,mg N/L,0.400164,Thu Aug 31 17:37:22 2023,1,10
WU1,,Ammonia 2.0,1.946,mg N/L,0.584737,Thu Aug 31 14:22:49 2023,1,2
WU1,,Nitrate 2,8.8387,mg N/L,0.45743,Thu Aug 31 16:07:48 2023,1,5
C C V,,Ammonia 2.0,1.0222,mg N/L,0.609819,Thu Aug 31 14:24:50 2023,1,1
C C V,,Nitrate 2,0.8794,mg N/L,0.233239,Thu Aug 31 16:09:53 2023,1,1
C C B ,,Ammonia 2.0,-0.0259,mg N/L,0.074994,Thu Aug 31 14:26:51 2023,1,1
C C B ,,Nitrate 2,-0.0215,mg N/L,0.00587,Thu Aug 31 16:11:59 2023,1,1
WU10,,Ammonia 2.0,13.0146,mg N/L,0.752336,Thu Aug 31 18:10:49 2023,1,10
WU10,,Nitrate 2,17.411,mg N/L,0.450708,Thu Aug 31 17:38:16 2023,1,10
CR,,Ammonia 2.0,0.6279,mg N/L,0.248424,Thu Aug 31 14:30:53 2023,1,2
CR,,Nitrate 2,10.0837,mg N/L,0.265782,Thu Aug 31 17:39:11 2023,1,10
CP,,Ammonia 2.0,0.0408,mg N/L,0.098615,Thu Aug 31 14:32:53 2023,1,2
CP,,Nitrate 2,23.3181,mg N/L,0.305541,Thu Aug 31 18:33:45 2023,1,20
CR,,Ammonia 2.0,0.5333,mg N/L,0.224284,Thu Aug 31 14:34:54 2023,1,2
CR,,Nitrate 2,9.0756,mg N/L,0.469388,Thu Aug 31 16:19:07 2023,1,5
CR,,Ammonia 2.0,0.5289,mg N/L,0.223172,Thu Aug 31 14:36:54 2023,1,2
CR,,Nitrate 2,8.9906,mg N/L,0.465101,Thu Aug 31 16:20:02 2023,1,5
AK1,,Ammonia 2.0,0.2097,mg N/L,0.195223,Thu Aug 31 17:12:18 2023,1,1
AK1,,Nitrate 2,2.542,mg N/L,0.139599,Thu Aug 31 16:20:56 2023,1,5
BK1,,Ammonia 2.0,0.0143,mg N/L,0.09187,Thu Aug 31 14:40:11 2023,1,2
BK1,,Nitrate 2,2.0619,mg N/L,0.115367,Thu Aug 31 16:21:51 2023,1,5
CW,,Ammonia 2.0,1.114,mg N/L,0.372438,Thu Aug 31 14:42:52 2023,1,2
CW,,Nitrate 2,8.0029,mg N/L,0.415245,Thu Aug 31 16:22:45 2023,1,5
PU1,,Ammonia 2.0,0.2395,mg N/L,0.149324,Thu Aug 31 14:46:42 2023,1,2
PU1,,Nitrate 2,24.4022,mg N/L,0.319221,Thu Aug 31 18:34:39 2023,1,20
RU10,,Ammonia 2.0,18.0031,mg N/L,1.006893,Thu Aug 31 18:13:30 2023,1,10
RU10,,Nitrate 2,21.0556,mg N/L,0.276991,Thu Aug 31 18:35:34 2023,1,20
C C V,,Ammonia 2.0,1.0058,mg N/L,0.60149,Thu Aug 31 14:54:27 2023,1,1
C C V,,Nitrate 2,0.8417,mg N/L,0.223717,Thu Aug 31 16:25:29 2023,1,1
C C B ,,Ammonia 2.0,-0.0179,mg N/L,0.079059,Thu Aug 31 14:58:17 2023,1,1
C C B ,,Nitrate 2,-0.0213,mg N/L,0.005922,Thu Aug 31 16:26:24 2023,1,1
CCV,,Ammonia 2.0,0,mg N/L,0,Wed Dec 31 16:00:00 1969,1,1
CCV,,Nitrate 2,0,mg N/L,0,Wed Dec 31 16:00:00 1969,1,1
CCB,,Ammonia 2.0,0,mg N/L,0,Wed Dec 31 16:00:00 1969,1,1
CCB,,Nitrate 2,0,mg N/L,0,Wed Dec 31 16:00:00 1969,1,1
CCV,,Ammonia 2.0,0,mg N/L,0,Wed Dec 31 16:00:00 1969,1,1
CCV,,Nitrate 2,0,mg N/L,0,Wed Dec 31 16:00:00 1969,1,1
CCB,,Ammonia 2.0,0,mg N/L,0,Wed Dec 31 16:00:00 1969,1,1
CCB,,Nitrate 2,0,mg N/L,0,Wed Dec 31 16:00:00 1969,1,1
CCV,,Nitrate 2,0,mg N/L,0,Wed Dec 31 16:00:00 1969,1,1
CCB,,Nitrate 2,0,mg N/L,0,Wed Dec 31 16:00:00 1969,1,1
CCV,,Ammonia 2.0,1.0963,mg N/L,0.647634,Thu Aug 31 18:17:22 2023,1,1
CCB,,Ammonia 2.0,0.0073,mg N/L,0.091947,Thu Aug 31 18:21:15 2023,1,1
CCV,,Ammonia 2.0,1.1051,mg N/L,0.652129,Thu Aug 31 18:25:07 2023,1,1
CCB,,Ammonia 2.0,0.011,mg N/L,0.093823,Thu Aug 31 18:27:50 2023,1,1
