Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
STANDARD 1,,Ammonia 2.0,0.0785,mg N/L,0.07852,Fri Sep 01 15:42:38 2023,1,1
STANDARD 90,,Ammonia 2.0,0.1137,mg N/L,0.113705,Fri Sep 01 15:44:38 2023,1,1
STANDARD 91,,Ammonia 2.0,0.1391,mg N/L,0.139071,Fri Sep 01 15:46:38 2023,1,1
STANDARD 92,,Ammonia 2.0,0.1944,mg N/L,0.194409,Fri Sep 01 15:48:36 2023,1,1
STANDARD 93,,Ammonia 2.0,0.3436,mg N/L,0.343574,Fri Sep 01 15:50:34 2023,1,1
STANDARD 94,,Ammonia 2.0,0.6084,mg N/L,0.608375,Fri Sep 01 15:52:32 2023,1,1
STANDARD 95,,Ammonia 2.0,1.0502,mg N/L,1.050181,Fri Sep 01 15:54:30 2023,1,1
STANDARD 0,,Ammonia 2.0,0.0766,mg N/L,0.076563,Fri Sep 01 15:56:31 2023,1,1
C C V,,Ammonia 2.0,1.1298,mg N/L,0.643317,Fri Sep 01 15:58:29 2023,1,1
C C B ,,Ammonia 2.0,-0.0425,mg N/L,0.074279,Fri Sep 01 16:00:27 2023,1,1
CP,,Ammonia 2.0,0.1203,mg N/L,0.153297,Fri Sep 01 16:02:25 2023,1,1
BK1,,Ammonia 2.0,0.0695,mg N/L,0.128679,Fri Sep 01 16:04:24 2023,1,1
BK1,,Ammonia 2.0,0.0616,mg N/L,0.124824,Fri Sep 01 16:06:22 2023,1,1
AU1,,Ammonia 2.0,0.4064,mg N/L,0.292201,Fri Sep 01 16:08:22 2023,1,1
BK10,,Ammonia 2.0,35.3658,mg N/L,0.428714,Sun Sep 03 17:16:37 2023,1,51.43
CW,,Ammonia 2.0,1.8237,mg N/L,0.98015,Fri Sep 01 16:12:21 2023,1,1
PK1,,Ammonia 2.0,0.0726,mg N/L,0.130183,Fri Sep 01 16:14:19 2023,1,1
AU1,,Ammonia 2.0,2.1678,mg N/L,0.621048,Fri Sep 01 17:55:35 2023,1,5
AK1,,Ammonia 2.0,-0.0495,mg N/L,0.070901,Fri Sep 01 16:18:20 2023,1,1
PK10,,Ammonia 2.0,0.0607,mg N/L,0.124407,Fri Sep 01 16:20:19 2023,1,1
C C V,,Ammonia 2.0,1.1251,mg N/L,0.641029,Fri Sep 01 16:22:18 2023,1,1
C C B ,,Ammonia 2.0,-0.0374,mg N/L,0.076762,Fri Sep 01 16:24:17 2023,1,1
PK10,,Ammonia 2.0,0.086,mg N/L,0.13665,Fri Sep 01 16:26:16 2023,1,1
PU10,,Ammonia 2.0,0.4071,mg N/L,0.292529,Fri Sep 01 16:28:15 2023,1,1
BU10,,Ammonia 2.0,27.6179,mg N/L,1.770633,Sun Sep 03 17:43:38 2023,1,8
PK1,,Ammonia 2.0,0.0747,mg N/L,0.131197,Fri Sep 01 16:32:14 2023,1,1
PK10,,Ammonia 2.0,0.0545,mg N/L,0.121375,Fri Sep 01 16:34:14 2023,1,1
AK1,,Ammonia 2.0,0.0963,mg N/L,0.141651,Fri Sep 01 16:36:12 2023,1,1
PK1,,Ammonia 2.0,0.1191,mg N/L,0.152748,Fri Sep 01 16:38:11 2023,1,1
CW,,Ammonia 2.0,1.7421,mg N/L,0.940555,Fri Sep 01 16:40:09 2023,1,1
WK10,,Ammonia 2.0,2.773,mg N/L,0.767935,Fri Sep 01 17:57:14 2023,1,2
RK1,,Ammonia 2.0,1.0069,mg N/L,0.583648,Fri Sep 01 16:44:06 2023,1,1
C C V,,Ammonia 2.0,1.1193,mg N/L,0.638208,Fri Sep 01 16:46:04 2023,1,1
C C B ,,Ammonia 2.0,-0.0357,mg N/L,0.077596,Fri Sep 01 16:48:02 2023,1,1
RK10,,Ammonia 2.0,1.1696,mg N/L,0.662645,Fri Sep 01 16:50:03 2023,1,1
WK1,,Ammonia 2.0,2.2658,mg N/L,0.644834,Fri Sep 01 17:58:52 2023,1,2
CA,,Ammonia 2.0,-0.0461,mg N/L,0.083739,Fri Sep 01 19:10:12 2023,1,2
RK10,,Ammonia 2.0,1.1322,mg N/L,0.644512,Fri Sep 01 16:55:59 2023,1,1
WK1,,Ammonia 2.0,2.3015,mg N/L,0.653484,Fri Sep 01 18:00:31 2023,1,2
CA,,Ammonia 2.0,-0.0405,mg N/L,0.085082,Fri Sep 01 19:11:50 2023,1,2
HU71,,Ammonia 2.0,1.0664,mg N/L,0.612544,Fri Sep 01 17:01:56 2023,1,1
WU710,,Ammonia 2.0,27.5555,mg N/L,0.354998,Sun Sep 03 17:19:55 2023,1,51.43
HU71,,Ammonia 2.0,0.1318,mg N/L,0.158886,Fri Sep 01 17:05:55 2023,1,1
PU71,,Ammonia 2.0,0.2919,mg N/L,0.23661,Fri Sep 01 17:07:52 2023,1,1
C C V,,Ammonia 2.0,1.1377,mg N/L,0.647142,Fri Sep 01 17:09:50 2023,1,1
C C B ,,Ammonia 2.0,-0.0477,mg N/L,0.071749,Fri Sep 01 17:11:51 2023,1,1
WU71,,Ammonia 2.0,4.2214,mg N/L,0.607191,Fri Sep 01 18:27:32 2023,1,10
RU710,,Ammonia 2.0,44.8549,mg N/L,0.518275,Sun Sep 03 17:21:33 2023,1,51.43
PU710,,Ammonia 2.0,21.0323,mg N/L,0.29343,Sun Sep 03 17:23:12 2023,1,51.43
PK71,,Ammonia 2.0,0.1373,mg N/L,0.161586,Fri Sep 01 17:19:46 2023,1,1
RK710,,Ammonia 2.0,1.131,mg N/L,0.643914,Fri Sep 01 17:21:45 2023,1,1
HK71,,Ammonia 2.0,0.4205,mg N/L,0.299042,Fri Sep 01 17:23:24 2023,1,1
HU710,,Ammonia 2.0,30.055,mg N/L,0.378589,Fri Sep 01 20:17:50 2023,1,51.43
HK710,,Ammonia 2.0,0.1223,mg N/L,0.154308,Fri Sep 01 17:26:42 2023,1,1
WK710,,Ammonia 2.0,2.3483,mg N/L,0.664858,Fri Sep 01 18:03:48 2023,1,2
RK1,,Ammonia 2.0,1.2191,mg N/L,0.68666,Fri Sep 01 17:29:59 2023,1,1
C C V,,Ammonia 2.0,1.1363,mg N/L,0.646495,Fri Sep 01 17:31:37 2023,1,1
C C B ,,Ammonia 2.0,-0.0574,mg N/L,0.067074,Fri Sep 01 17:33:16 2023,1,1
CCV,,Ammonia 2.0,1.1663,mg N/L,0.661017,Fri Sep 01 17:51:34 2023,1,1
CCB,,Ammonia 2.0,-0.0345,mg N/L,0.078196,Fri Sep 01 17:53:35 2023,1,1
CCV,,Ammonia 2.0,1.1537,mg N/L,0.654942,Fri Sep 01 18:05:27 2023,1,1
CCB,,Ammonia 2.0,-0.0538,mg N/L,0.068818,Fri Sep 01 18:07:06 2023,1,1
CCV,,Ammonia 2.0,1.1686,mg N/L,0.662166,Fri Sep 01 18:24:13 2023,1,1
CCB,,Ammonia 2.0,-0.0505,mg N/L,0.070398,Fri Sep 01 18:25:52 2023,1,1
CCV,,Ammonia 2.0,1.1486,mg N/L,0.652452,Fri Sep 01 18:29:10 2023,1,1
CCB,,Ammonia 2.0,-0.0484,mg N/L,0.071442,Fri Sep 01 18:30:49 2023,1,1
CCV,,Ammonia 2.0,1.1766,mg N/L,0.666016,Sun Sep 03 17:40:20 2023,1,1
CCB,,Ammonia 2.0,-0.0092,mg N/L,0.09047,Sun Sep 03 17:41:59 2023,1,1
CCV,,Ammonia 2.0,1.1719,mg N/L,0.66375,Sun Sep 03 17:45:17 2023,1,1
CCB,,Ammonia 2.0,-0.0125,mg N/L,0.088841,Sun Sep 03 17:46:56 2023,1,1
