Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
STANDARD 1,,o-Phos 1,  0.003,mg P/L,0.003379,Mon Sep 04 12:17:11 2023,1,1
STANDARD 90,,o-Phos 1,  0.009,mg P/L,0.009375,Mon Sep 04 12:18:29 2023,1,1
STANDARD 91,,o-Phos 1,  0.019,mg P/L,0.019275,Mon Sep 04 12:19:46 2023,1,1
STANDARD 92,,o-Phos 1,  0.035,mg P/L,0.035313,Mon Sep 04 12:21:07 2023,1,1
STANDARD 93,,o-Phos 1,  0.084,mg P/L,0.084080,Mon Sep 04 12:22:28 2023,1,1
STANDARD 94,,o-Phos 1,  0.167,mg P/L,0.167398,Mon Sep 04 12:23:49 2023,1,1
STANDARD 95,,o-Phos 1,  0.331,mg P/L,0.331289,Mon Sep 04 12:25:11 2023,1,1
STANDARD 0,,o-Phos 1,  0.003,mg P/L,0.002751,Mon Sep 04 12:26:32 2023,1,1
C C V,,o-Phos 1,  0.014,mg P/L,0.007444,Mon Sep 04 12:27:50 2023,1,1
C C B ,,o-Phos 1,  0.001,mg P/L,0.003267,Mon Sep 04 12:29:11 2023,1,1
RK310,,o-Phos 1,  7.657,mg P/L,0.279458,Mon Sep 04 12:30:30 2023,1,9.09
PK310,,o-Phos 1,  0.448,mg P/L,0.018970,Mon Sep 04 12:31:48 2023,1,9.09
RK31,,o-Phos 1,  2.305,mg P/L,0.254473,Mon Sep 04 14:01:45 2023,1,3.01
WU31,,o-Phos 1,  0.018,mg P/L,0.008739,Mon Sep 04 12:34:28 2023,1,1
RK310,,o-Phos 1,  2.654,mg P/L,0.098666,Mon Sep 04 12:35:46 2023,1,9.09
HU310,,o-Phos 1,  9.211,mg P/L,0.206998,Mon Sep 04 15:31:01 2023,1,14.81
RU31,,o-Phos 1,  2.503,mg P/L,0.093205,Mon Sep 04 12:38:22 2023,1,9.09
HK31,,o-Phos 1,  9.032,mg P/L,0.329120,Mon Sep 04 12:39:40 2023,1,9.09
RU31,,o-Phos 1,  2.219,mg P/L,0.082942,Mon Sep 04 12:41:02 2023,1,9.09
WK31,,o-Phos 1,  0.010,mg P/L,0.006214,Mon Sep 04 12:42:20 2023,1,1
C C V,,o-Phos 1,  0.489,mg P/L,0.163417,Mon Sep 04 12:43:38 2023,1,1
C C B ,,o-Phos 1, -0.000,mg P/L,0.002702,Mon Sep 04 12:44:58 2023,1,1
PK310,,o-Phos 1,  0.444,mg P/L,0.148518,Mon Sep 04 12:46:18 2023,1,1
PK310,,o-Phos 1,  0.461,mg P/L,0.154287,Mon Sep 04 12:47:36 2023,1,1
HK31,,o-Phos 1,  8.305,mg P/L,0.302859,Mon Sep 04 12:48:57 2023,1,9.09
WK31,,o-Phos 1,  0.287,mg P/L,0.096984,Mon Sep 04 12:50:19 2023,1,1
PK31,,o-Phos 1,  0.080,mg P/L,0.029067,Mon Sep 04 12:51:37 2023,1,1
WU31,,o-Phos 1,  0.015,mg P/L,0.007836,Mon Sep 04 12:52:54 2023,1,1
WU310,,o-Phos 1,  0.029,mg P/L,0.012385,Mon Sep 04 12:54:15 2023,1,1
HK310,,o-Phos 1, 14.482,mg P/L,0.323861,Mon Sep 04 15:31:54 2023,1,14.81
PU31,,o-Phos 1,  0.074,mg P/L,0.027155,Mon Sep 04 12:56:50 2023,1,1
WK31,,o-Phos 1,  0.014,mg P/L,0.007361,Mon Sep 04 12:58:07 2023,1,1
C C V,,o-Phos 1,  0.504,mg P/L,0.168399,Mon Sep 04 12:59:28 2023,1,1
C C B ,,o-Phos 1, -0.000,mg P/L,0.002688,Mon Sep 04 13:00:48 2023,1,1
PU31,,o-Phos 1,  0.121,mg P/L,0.042512,Mon Sep 04 13:02:08 2023,1,1
HU310,,o-Phos 1,  7.104,mg P/L,0.259453,Mon Sep 04 13:03:28 2023,1,9.09
HU310,,o-Phos 1,  7.904,mg P/L,0.288347,Mon Sep 04 13:04:49 2023,1,9.09
WU31,,o-Phos 1,  0.033,mg P/L,0.013616,Mon Sep 04 13:06:09 2023,1,1
PU310,,o-Phos 1,  0.015,mg P/L,0.007579,Mon Sep 04 13:07:26 2023,1,1
RK31,,o-Phos 1,  0.077,mg P/L,0.005549,Mon Sep 04 13:08:43 2023,1,9.09
PU31,,o-Phos 1,  3.163,mg P/L,0.117079,Mon Sep 04 14:34:05 2023,1,9.09
PU310,,o-Phos 1,  0.080,mg P/L,0.029072,Mon Sep 04 13:11:25 2023,1,1
WU310,,o-Phos 1,  0.096,mg P/L,0.034207,Mon Sep 04 13:12:46 2023,1,1
RK31,,o-Phos 1,  0.732,mg P/L,0.029216,Mon Sep 04 13:14:07 2023,1,9.09
C C V,,o-Phos 1,  0.501,mg P/L,0.167281,Mon Sep 04 13:15:24 2023,1,1
C C B ,,o-Phos 1, -0.000,mg P/L,0.002730,Mon Sep 04 13:16:45 2023,1,1
HU31,,o-Phos 1,  9.434,mg P/L,0.211957,Mon Sep 04 15:32:47 2023,1,14.81
RU31,,o-Phos 1,  5.483,mg P/L,0.200895,Mon Sep 04 13:19:26 2023,1,9.09
RU310,,o-Phos 1,  2.242,mg P/L,0.083789,Mon Sep 04 13:20:43 2023,1,9.09
WU310,,o-Phos 1,  4.687,mg P/L,0.172114,Mon Sep 04 14:34:58 2023,1,9.09
PU310,,o-Phos 1,  0.104,mg P/L,0.037083,Mon Sep 04 13:23:18 2023,1,1
HK310,,o-Phos 1,  0.091,mg P/L,0.006074,Mon Sep 04 13:24:39 2023,1,9.09
HU31,,o-Phos 1, 18.084,mg P/L,0.329475,Mon Sep 04 15:51:22 2023,1,18.18
HU31,,o-Phos 1,  6.594,mg P/L,0.241023,Mon Sep 04 13:27:18 2023,1,9.09
RU310,,o-Phos 1,  3.766,mg P/L,0.138867,Mon Sep 04 13:28:40 2023,1,9.09
PK31,,o-Phos 1,  4.738,mg P/L,0.173953,Mon Sep 04 14:35:51 2023,1,9.09
C C V,,o-Phos 1,  0.487,mg P/L,0.162781,Mon Sep 04 13:31:19 2023,1,1
C C B ,,o-Phos 1,  0.001,mg P/L,0.003129,Mon Sep 04 13:32:16 2023,1,1
RK310,,o-Phos 1,  0.046,mg P/L,0.004455,Mon Sep 04 13:33:18 2023,1,9.09
PK31,,o-Phos 1,  8.689,mg P/L,0.316734,Mon Sep 04 14:36:44 2023,1,9.09
WK31,,o-Phos 1,  0.115,mg P/L,0.040537,Mon Sep 04 13:35:05 2023,1,1
WK310,,o-Phos 1,  0.031,mg P/L,0.012884,Mon Sep 04 13:35:58 2023,1,1
HK310,,o-Phos 1,  0.076,mg P/L,0.005530,Mon Sep 04 13:36:51 2023,1,9.09
RU310,,o-Phos 1, 13.480,mg P/L,0.301655,Mon Sep 04 15:34:34 2023,1,14.81
WK310,,o-Phos 1,  4.741,mg P/L,0.174090,Mon Sep 04 14:37:38 2023,1,9.09
HK31,,o-Phos 1,  0.557,mg P/L,0.022913,Mon Sep 04 13:39:31 2023,1,9.09
C C V,,o-Phos 1,  0.489,mg P/L,0.163548,Mon Sep 04 13:40:24 2023,1,1
C C B ,,o-Phos 1,  0.001,mg P/L,0.003260,Mon Sep 04 13:41:17 2023,1,1
CCV,,o-Phos 1,  0.495,mg P/L,0.165374,Mon Sep 04 13:59:05 2023,1,1
CCB,,o-Phos 1, -0.000,mg P/L,0.002753,Mon Sep 04 14:00:26 2023,1,1
CCV,,o-Phos 1,  0.495,mg P/L,0.165279,Mon Sep 04 14:12:10 2023,1,1
CCB,,o-Phos 1,  0.001,mg P/L,0.003081,Mon Sep 04 14:13:04 2023,1,1
CCV,,o-Phos 1,  0.492,mg P/L,0.164429,Mon Sep 04 14:14:51 2023,1,1
CCB,,o-Phos 1,  0.001,mg P/L,0.003213,Mon Sep 04 14:15:45 2023,1,1
CCV,,o-Phos 1,  0.492,mg P/L,0.164472,Mon Sep 04 14:32:17 2023,1,1
CCB,,o-Phos 1,  0.000,mg P/L,0.002794,Mon Sep 04 14:33:11 2023,1,1
CCV,,o-Phos 1,  0.483,mg P/L,0.161534,Mon Sep 04 14:38:31 2023,1,1
CCB,,o-Phos 1,  0.001,mg P/L,0.003036,Mon Sep 04 14:39:25 2023,1,1
CCV,,o-Phos 1,  0.480,mg P/L,0.160520,Mon Sep 04 15:49:34 2023,1,1
CCB,,o-Phos 1,  0.021,mg P/L,0.009802,Mon Sep 04 15:50:28 2023,1,1
CCV,,o-Phos 1,  0.530,mg P/L,0.176815,Mon Sep 04 15:52:15 2023,1,1
CCB,,o-Phos 1,  0.005,mg P/L,0.004413,Mon Sep 04 15:53:09 2023,1,1
