Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
STANDARD 1,,bray-p 1, 0.0059,mgP/L,0.005876,Mon Dec 11 09:22:58 2023,1,1
STANDARD 90,,bray-p 1, 0.0118,mgP/L,0.011786,Mon Dec 11 09:24:15 2023,1,1
STANDARD 91,,bray-p 1, 0.0204,mgP/L,0.020434,Mon Dec 11 09:25:31 2023,1,1
STANDARD 92,,bray-p 1, 0.0352,mgP/L,0.035209,Mon Dec 11 09:26:48 2023,1,1
STANDARD 93,,bray-p 1, 0.0775,mgP/L,0.077502,Mon Dec 11 09:28:05 2023,1,1
STANDARD 94,,bray-p 1, 0.1526,mgP/L,0.152609,Mon Dec 11 09:29:22 2023,1,1
STANDARD 95,,bray-p 1, 0.2190,mgP/L,0.219043,Mon Dec 11 09:30:40 2023,1,1
STANDARD 96,,bray-p 1, 0.2876,mgP/L,0.287583,Mon Dec 11 09:31:57 2023,1,1
STANDARD 0,,bray-p 1, 0.0061,mgP/L,0.006142,Mon Dec 11 09:33:14 2023,1,1
C C V,,bray-p 1, 0.5639,mgP/L,0.166353,Mon Dec 11 09:34:32 2023,1,1
C C B ,,bray-p 1,-0.0024,mgP/L,0.006158,Mon Dec 11 09:35:52 2023,1,1
CONTROL1 F,,bray-p 1, 0.0001,mgP/L,0.006886,Mon Dec 11 09:37:11 2023,1,1
B21 F,,bray-p 1, 8.9318,mgP/L,0.259508,Mon Dec 11 13:40:11 2023,1,10.00
A24F,,bray-p 1,15.3548,mgP/L,0.224023,Mon Dec 11 15:13:51 2023,1,20.00
B23 F,,bray-p 1,14.2409,mgP/L,0.208267,Mon Dec 11 15:15:13 2023,1,20.00
B24,,bray-p 1, 6.4315,mgP/L,0.188778,Mon Dec 11 13:44:15 2023,1,10.00
A23F,,bray-p 1, 8.2401,mgP/L,0.239942,Mon Dec 11 13:45:37 2023,1,10.00
