Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
STANDARD 1,,bray-p 1, 0.0091,mgP/L,0.009056,Thu Dec 14 10:28:03 2023,1,1
STANDARD 90,,bray-p 1, 0.0159,mgP/L,0.015902,Thu Dec 14 10:29:19 2023,1,1
STANDARD 91,,bray-p 1, 0.0241,mgP/L,0.024145,Thu Dec 14 10:30:36 2023,1,1
STANDARD 92,,bray-p 1, 0.0395,mgP/L,0.039508,Thu Dec 14 10:31:53 2023,1,1
STANDARD 93,,bray-p 1, 0.0817,mgP/L,0.081656,Thu Dec 14 10:33:10 2023,1,1
STANDARD 94,,bray-p 1, 0.1560,mgP/L,0.155975,Thu Dec 14 10:34:27 2023,1,1
STANDARD 95,,bray-p 1, 0.2268,mgP/L,0.226783,Thu Dec 14 10:35:45 2023,1,1
STANDARD 96,,bray-p 1, 0.2965,mgP/L,0.296460,Thu Dec 14 10:37:02 2023,1,1
STANDARD 0,,bray-p 1, 0.0092,mgP/L,0.009152,Thu Dec 14 10:38:19 2023,1,1
C C V,,bray-p 1, 0.5001,mgP/L,0.154055,Thu Dec 14 10:39:37 2023,1,1
C C B ,,bray-p 1,-0.0037,mgP/L,0.009062,Thu Dec 14 10:40:57 2023,1,1
a23,,bray-p 1,15.6534,mgP/L,0.265437,Thu Dec 14 13:52:59 2023,1,17.65
A18,,bray-p 1,29.5886,mgP/L,0.180453,Thu Dec 14 14:31:04 2023,1,50.00
A5,,bray-p 1,28.3391,mgP/L,0.173260,Thu Dec 14 14:32:26 2023,1,50.00
A21,,bray-p 1,24.9559,mgP/L,0.153784,Thu Dec 14 14:33:47 2023,1,50.00
A11,,bray-p 1,28.3651,mgP/L,0.173410,Thu Dec 14 14:35:09 2023,1,50.00
A12,,bray-p 1,32.6682,mgP/L,0.198182,Thu Dec 14 14:36:31 2023,1,50.00
B8,,bray-p 1,29.2678,mgP/L,0.178606,Thu Dec 14 14:37:52 2023,1,50.00
B12,,bray-p 1,37.1947,mgP/L,0.224239,Thu Dec 14 14:39:14 2023,1,50.00
B17,,bray-p 1,33.8592,mgP/L,0.205038,Thu Dec 14 14:40:35 2023,1,50.00
B1,,bray-p 1,20.7778,mgP/L,0.129732,Thu Dec 14 14:41:57 2023,1,50.00
C C V,,bray-p 1, 0.4916,mgP/L,0.151623,Thu Dec 14 10:55:13 2023,1,1
C C B ,,bray-p 1,-0.0035,mgP/L,0.009123,Thu Dec 14 10:56:34 2023,1,1
A25,,bray-p 1,28.2318,mgP/L,0.172642,Thu Dec 14 14:43:18 2023,1,50.00
A24,,bray-p 1,31.3801,mgP/L,0.190766,Thu Dec 14 14:44:39 2023,1,50.00
A20,,bray-p 1,28.8211,mgP/L,0.176035,Thu Dec 14 14:46:00 2023,1,50.00
B4,,bray-p 1,16.4801,mgP/L,0.104992,Thu Dec 14 14:47:21 2023,1,50.00
B11,,bray-p 1,26.2681,mgP/L,0.161338,Thu Dec 14 14:48:41 2023,1,50.00
B23,,bray-p 1,19.9762,mgP/L,0.125117,Thu Dec 14 14:50:02 2023,1,50.00
A14,,bray-p 1,25.9243,mgP/L,0.159359,Thu Dec 14 14:51:22 2023,1,50.00
B3,,bray-p 1,15.8580,mgP/L,0.101410,Thu Dec 14 14:52:42 2023,1,50.00
A22,,bray-p 1,28.0290,mgP/L,0.171475,Thu Dec 14 14:54:02 2023,1,50.00
B22,,bray-p 1,26.0525,mgP/L,0.160097,Thu Dec 14 14:55:23 2023,1,50.00
C C V,,bray-p 1, 0.4929,mgP/L,0.151989,Thu Dec 14 11:10:46 2023,1,1
C C B ,,bray-p 1,-0.0039,mgP/L,0.009012,Thu Dec 14 11:12:06 2023,1,1
