Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
STANDARD 1,,Ammonia 2.0, 0.0402,mg N/L,0.040161,Mon Dec 18 16:20:06 2023,1,1
STANDARD 1,,Nitrate 2, 0.0056,mg N/L,0.005620,Mon Dec 18 21:37:32 2023,1,1
STANDARD 90,,Ammonia 2.0, 0.0621,mg N/L,0.062139,Mon Dec 18 16:22:06 2023,1,1
STANDARD 90,,Nitrate 2, 0.0155,mg N/L,0.015492,Mon Dec 18 21:39:37 2023,1,1
STANDARD 91,,Ammonia 2.0, 0.0942,mg N/L,0.094182,Mon Dec 18 16:24:06 2023,1,1
STANDARD 91,,Nitrate 2, 0.0206,mg N/L,0.020600,Mon Dec 18 21:41:42 2023,1,1
STANDARD 92,,Ammonia 2.0, 0.1452,mg N/L,0.145186,Mon Dec 18 16:26:06 2023,1,1
STANDARD 92,,Nitrate 2, 0.0391,mg N/L,0.039083,Mon Dec 18 21:43:46 2023,1,1
STANDARD 93,,Ammonia 2.0, 0.2924,mg N/L,0.292366,Mon Dec 18 16:28:07 2023,1,1
STANDARD 93,,Nitrate 2, 0.1276,mg N/L,0.127610,Mon Dec 18 21:45:51 2023,1,1
STANDARD 94,,Ammonia 2.0, 0.5561,mg N/L,0.556097,Mon Dec 18 16:30:08 2023,1,1
STANDARD 94,,Nitrate 2, 0.2779,mg N/L,0.277868,Mon Dec 18 21:47:55 2023,1,1
STANDARD 95,,Ammonia 2.0, 0.9838,mg N/L,0.983789,Mon Dec 18 16:32:09 2023,1,1
STANDARD 95,,Nitrate 2, 0.5181,mg N/L,0.518148,Mon Dec 18 21:50:00 2023,1,1
STANDARD 0,,Ammonia 2.0, 0.0402,mg N/L,0.040152,Mon Dec 18 16:34:09 2023,1,1
STANDARD 0,,Nitrate 2, 0.0063,mg N/L,0.006313,Mon Dec 18 21:52:05 2023,1,1
C C V,,Ammonia 2.0, 4.6424,mg N/L,2.255616,Mon Dec 18 16:36:10 2023,1,1
C C V,,Nitrate 2, 0.1012,mg N/L,0.026225,Mon Dec 18 21:54:10 2023,1,1
C C B ,,Ammonia 2.0,-0.0216,mg N/L,0.039768,Mon Dec 18 16:38:11 2023,1,1
C C B ,,Nitrate 2, 0.0223,mg N/L,0.005543,Mon Dec 18 21:56:15 2023,1,1
B20,,Ammonia 2.0, 7.3744,mg N/L,0.400369,Mon Dec 18 16:40:12 2023,1,10.00
B20,,Nitrate 2, 2.5232,mg N/L,0.065838,Mon Dec 18 21:58:20 2023,1,10.00
A12,,Ammonia 2.0, 7.5959,mg N/L,0.410891,Mon Dec 18 16:42:13 2023,1,10.00
A12,,Nitrate 2, 4.7920,mg N/L,0.125306,Mon Dec 18 22:00:24 2023,1,10.00
A11,,Ammonia 2.0, 5.0594,mg N/L,0.290381,Mon Dec 18 16:44:15 2023,1,10.00
A11,,Nitrate 2, 3.3024,mg N/L,0.086261,Mon Dec 18 22:02:28 2023,1,10.00
B12,,Ammonia 2.0, 1.9236,mg N/L,0.141398,Mon Dec 18 16:46:15 2023,1,10.00
B12,,Nitrate 2, 2.2219,mg N/L,0.057939,Mon Dec 18 22:04:33 2023,1,10.00
B16,,Ammonia 2.0, 8.1470,mg N/L,0.437073,Mon Dec 18 16:48:15 2023,1,10.00
B16,,Nitrate 2, 1.6960,mg N/L,0.044155,Mon Dec 18 22:06:37 2023,1,10.00
B17,,Ammonia 2.0, 5.6513,mg N/L,0.318505,Mon Dec 18 16:50:16 2023,1,10.00
B17,,Nitrate 2, 2.7953,mg N/L,0.072969,Mon Dec 18 22:08:43 2023,1,10.00
B10,,Ammonia 2.0,33.2074,mg N/L,0.356781,Tue Dec 19 08:52:54 2023,1,51.43
B10,,Nitrate 2,17.3211,mg N/L,0.453707,Mon Dec 18 22:10:48 2023,1,10.00
B14,,Ammonia 2.0, 2.7300,mg N/L,0.179711,Mon Dec 18 16:54:19 2023,1,10.00
B14,,Nitrate 2, 2.5182,mg N/L,0.065706,Mon Dec 18 22:12:53 2023,1,10.00
A2,,Ammonia 2.0,12.0708,mg N/L,0.623492,Mon Dec 18 16:56:21 2023,1,10.00
A2,,Nitrate 2,10.1911,mg N/L,0.266822,Mon Dec 18 22:14:58 2023,1,10.00
B13,,Ammonia 2.0, 1.7317,mg N/L,0.132281,Mon Dec 18 16:58:22 2023,1,10.00
B13,,Nitrate 2, 2.8858,mg N/L,0.075342,Mon Dec 18 22:17:04 2023,1,10.00
C C V,,Ammonia 2.0, 4.6540,mg N/L,2.261148,Mon Dec 18 17:00:24 2023,1,1
C C V,,Nitrate 2, 0.1016,mg N/L,0.026319,Mon Dec 18 22:19:09 2023,1,1
C C B ,,Ammonia 2.0,-0.0370,mg N/L,0.032447,Mon Dec 18 17:02:26 2023,1,1
C C B ,,Nitrate 2, 0.0238,mg N/L,0.005941,Mon Dec 18 22:21:15 2023,1,1
A21,,Ammonia 2.0,-0.1449,mg N/L,0.043125,Mon Dec 18 17:04:28 2023,1,10.00
A21,,Nitrate 2, 0.9760,mg N/L,0.025285,Mon Dec 18 22:23:21 2023,1,10.00
B18,,Ammonia 2.0, 6.4000,mg N/L,0.354075,Mon Dec 18 17:06:30 2023,1,10.00
B18,,Nitrate 2, 2.8938,mg N/L,0.075553,Mon Dec 18 22:25:25 2023,1,10.00
B7,,Ammonia 2.0,26.4384,mg N/L,0.294249,Tue Dec 19 08:54:54 2023,1,51.43
B7,,Nitrate 2,13.2768,mg N/L,0.347701,Mon Dec 18 22:27:29 2023,1,10.00
B19,,Ammonia 2.0,10.8573,mg N/L,0.565841,Mon Dec 18 17:10:32 2023,1,10.00
B19,,Nitrate 2, 2.6763,mg N/L,0.069850,Mon Dec 18 22:29:34 2023,1,10.00
B11,,Ammonia 2.0, 1.7367,mg N/L,0.132519,Mon Dec 18 17:12:32 2023,1,10.00
B11,,Nitrate 2, 2.8950,mg N/L,0.075583,Mon Dec 18 22:31:40 2023,1,10.00
A1,,Ammonia 2.0,10.9955,mg N/L,0.572404,Mon Dec 18 17:14:33 2023,1,10.00
A1,,Nitrate 2,11.5015,mg N/L,0.301169,Mon Dec 18 22:33:46 2023,1,10.00
A22,,Ammonia 2.0,-0.0093,mg N/L,0.049568,Mon Dec 18 17:16:34 2023,1,10.00
A22,,Nitrate 2, 0.8643,mg N/L,0.022356,Mon Dec 18 22:35:51 2023,1,10.00
B23,,Ammonia 2.0,-0.0758,mg N/L,0.046406,Mon Dec 18 17:18:36 2023,1,10.00
B23,,Nitrate 2, 0.8333,mg N/L,0.021543,Mon Dec 18 22:37:57 2023,1,10.00
A3,,Ammonia 2.0,28.2380,mg N/L,0.310873,Tue Dec 19 08:56:33 2023,1,51.43
A3,,Nitrate 2,39.9628,mg N/L,0.209196,Tue Dec 19 09:17:24 2023,1,50.00
A13,,Ammonia 2.0, 7.6453,mg N/L,0.413236,Mon Dec 18 17:22:38 2023,1,10.00
A13,,Nitrate 2, 3.5284,mg N/L,0.092185,Mon Dec 18 22:42:07 2023,1,10.00
C C V,,Ammonia 2.0, 4.6629,mg N/L,2.265345,Mon Dec 18 17:24:38 2023,1,1
C C V,,Nitrate 2, 0.1049,mg N/L,0.027195,Mon Dec 18 22:44:12 2023,1,1
C C B ,,Ammonia 2.0,-0.0282,mg N/L,0.036610,Mon Dec 18 17:26:39 2023,1,1
