Sample Name,Time of sampling (after hrs) ,Plant,Test Name (PPM),RT,Area,BF,1st Day,3rd day,5th day,7th day 
A1.1,0,L,CH4,2.791,20.0552,2.0829,2.2261,2.3178,1.9473,1.701
A1.1,0,L,CO2,4.194,8841.0307,1004.2218,715.4536,598.6988,554.1321,569.6004
A1.1,0,L,N2O,5.12,115.1669,0.2532,0.2736,0.2769,0.2694,0.2363
A1.2,0,L,CH4,2.792,16.854,1.7094,2.1047,1.9171,1.7482,2.2238
A1.2,0,L,CO2,4.194,6787.4997,768.5075,742.6002,538.4859,547.8363,644.2401
A1.2,0,L,N2O,5.12,107.6888,0.2322,0.2808,0.2416,0.2461,0.2731
A1.3,0,L,CH4,2.791,18.2407,1.8712,2.1297,1.8394,2.1802,2.2221
A1.3,0,L,CO2,4.193,9990.9615,1136.2164,645.3525,511.6303,619.995,659.3477
A1.3,0,L,N2O,5.12,115.5203,0.2541,0.2844,0.2332,0.276,0.2818
A1.6,0,L,CH4,2.789,19.8683,2.0611,1.9583,1.7509,2.0013,1.7684
A1.6,0,L,CO2,4.192,5367.5016,605.5131,576.29,506.5207,508.6838,480.8428
A1.6,0,L,N2O,5.118,380.1341,0.9947,1.2481,0.6465,1.1819,0.3892
A1.7,0,L,CH4,2.786,16.5997,1.6798,1.8316,1.7442,2.2248,1.8537
A1.7,0,L,CO2,4.19,5407.3588,610.0882,487.8626,501.5335,524.0757,472.9855
A1.7,0,L,N2O,5.116,439.8808,1.1619,0.7043,0.561,1.1566,0.3419
A1.8,0,L,CH4,2.785,20.9016,2.1816,1.7912,2.2825,2.1417,1.9752
A1.8,0,L,CO2,4.189,7107.3542,805.2219,503.9441,566.0386,547.9731,557.7989
A1.8,0,L,N2O,5.115,771.6058,2.0903,0.9214,0.7505,0.8083,0.5503
A1.11,0,L,CH4,2.783,17.1421,1.743,2.1832,1.8005,2.171,2.2229
A1.11,0,L,CO2,4.187,6424.9416,726.8913,755.5102,469.3463,561.2909,669.1236
A1.11,0,L,N2O,5.114,109.2411,0.2366,0.2916,0.2315,0.2687,0.2829
A1.12,0,L,CH4,2.782,19.0981,1.9712,2.1467,2.0762,2.0908,1.8206
A1.12,0,L,CO2,4.186,7666.3364,869.3846,621.7168,555.9245,586.1325,665.4926
A1.12,0,L,N2O,5.113,116.8362,0.2578,0.2849,0.2664,0.2768,0.2549
A1.13,0,L,CH4,2.781,16.9846,1.7247,2.2262,1.912,1.8158,2.072
A1.13,0,L,CO2,4.185,6896.1439,780.9782,704.7408,531.3763,494.0478,714.7425
A1.13,0,L,N2O,5.113,108.2296,0.2337,0.2871,0.2485,0.2363,0.2663
A1.16,0,L,CH4,2.78,16.7964,1.7027,2.0409,1.8912,2.127,2.2053
A1.16,0,L,CO2,4.185,7320.947,829.7392,600.4892,516.4545,631.9136,689.7157
A1.16,0,L,N2O,5.112,110.6368,0.2405,0.2722,0.2454,0.2795,0.2786
A1.17,0,L,CH4,2.781,20.6794,2.1557,1.9889,2.2629,2.1143,1.8313
A1.17,0,L,CO2,4.185,11069.6766,1260.0366,630.4939,616.1793,678.5982,648.2794
A1.17,0,L,N2O,5.11,125.0288,0.2808,0.2703,0.2714,0.2676,0.2421
A1.18,0,L,CH4,2.783,16.6202,1.6822,2.0006,1.93,2.1635,2.216
A1.18,0,L,CO2,4.188,5657.2284,638.7694,628.3436,549.3255,616.8389,706.3317
A1.18,0,L,N2O,5.113,107.3911,0.2314,0.2652,0.2567,0.2782,0.2687
A1.21,0,L,CH4,2.785,19.3438,1.9999,1.9759,1.8348,1.6185,2.179
A1.21,0,L,CO2,4.189,6474.5343,732.5838,740.3394,499.653,520.2172,657.3451
A1.21,0,L,N2O,5.115,116.6823,0.2574,0.2799,0.2429,0.2371,0.2907
A1.22,0,L,CH4,2.786,17.5721,1.7932,2.1474,2.1798,1.6812,1.7702
A1.22,0,L,CO2,4.189,8231.0444,934.2046,775.3952,658.2961,546.4293,553.9941
A1.22,0,L,N2O,5.115,110.6999,0.2407,0.2871,0.2795,0.2319,0.2254
A1.23,0,L,CH4,2.787,18.5965,1.9127,1.8416,2.279,2.0495,2.1851
A1.23,0,L,CO2,4.19,7787.3546,883.2757,646.7043,600.4885,604.4601,719.4159
A1.23,0,L,N2O,5.117,118.8081,0.2633,0.2437,0.2743,0.279,0.2803
A2.1,1,L,CH4,2.792,19.4467,2.0119,1.8294,1.7026,2.1366,1.7663
A2.1,1,L,CO2,4.192,22625.894,2586.5157,1089.7502,620.0469,1470.8775,1214.0926
A2.1,1,L,N2O,5.122,119.6162,0.2656,0.2491,0.2318,0.2976,0.2451
A2.2,1,L,CH4,2.792,17.7991,1.8197,1.7577,1.9089,2.0203,2.0699
A2.2,1,L,CO2,4.194,13448.8437,1533.1291,992.5824,881.5313,1671.0058,1295.5864
A2.2,1,L,N2O,5.122,112.3255,0.2452,0.2339,0.2434,0.3053,0.3176
A2.3,1,L,CH4,2.792,20.875,2.1785,2.2514,1.8946,1.8041,1.7071
A2.3,1,L,CO2,4.192,23145.0932,2646.1119,858.1996,619.6399,1504.5597,1003.7109
A2.3,1,L,N2O,5.12,124.9082,0.2804,0.2774,0.2351,0.272,0.2547
A2.6,1,L,CH4,2.789,17.566,1.7925,1.8456,1.9066,2.1319,2.2248
A2.6,1,L,CO2,4.192,10089.3228,1147.5068,800.2406,683.4404,1015.3447,892.8187
