,group,apH_First 7th,bHeight_First,cStem_First,dFresh biomass_First ,epH_Second,fEC_Second,gHeight_Second,hStem_Second,iCholorophyll_Second,jAmmonia_Second Lechates,kNitrate_Second Lechates,lPhosphate_Second Lechates
aAUF100_1,aAUF100,5.4,8.9,8,14.73,4.62,0.56,40.5,18,56.3,43.572,92.2076,0.071
aAUF100_2,aAUF100,5.42,22,6,14.67,4.9,0.62,48.6,20,54,83.162,91.7902,0.084
aAUF100_3,aAUF100,5.46,21.6,7,15.14,4.85,0.78,41.6,17,52.4,34.821,49.6116,0.126
aAUF100_4,aAUF100,5.38,17,8,17.43,4.94,0.8,45.9,18,50,83.285,34.8131,0.09
aAUF100_5,aAUF100,5.42,15.8,7,15.1,4.88,0.93,50.6,17,53.2,39.012,54.3029,0.658
bAUF200_1,bAUF200,4.64,24.6,4,6.9,4.98,0.79,40.2,1,53.7,83.979,57.2914,1.684
bAUF200_2,bAUF200,4.8,19.4,6,5.86,4.81,0.65,21.5,4,47.3,33.541,59.1224,0.27
bAUF200_3,bAUF200,4.78,17,6,10.77,4.87,0.58,29,11,46.8,83.535,62.1296,0.203
bAUF200_4,bAUF200,5.2,12.3,7,0,4.64,0.6,0,0,0,36.566,91.4085,3.166
bAUF200_5,bAUF200,5.3,16.4,6,18.14,4.74,0.72,47.2,12,50.9,83.162,91.456,0.407
cACF100_1,cACF100,5.34,18,8,10.82,5.92,0.6,45.4,20,49.6,4.867,53.4313,0.037
cACF100_2,cACF100,5.45,12,5,11.56,5.41,0.62,47.4,16,45.7,0.22,33.6288,0.081
cACF100_3,cACF100,5.49,27,5,13.39,5.36,0.6,49.5,11,48.9,10.099,26.1059,0.092
cACF100_4,cACF100,5.22,13.5,4,10.36,5.06,0.54,52,12,41,8.851,26.9327,0.606
cACF100_5,cACF100,5.46,15.3,5,12.81,5.69,0.59,44.5,16,43.2,36.108,12.9954,1.076
dACF200_1,dACF200,5.45,22,6,11.87,4.79,0.49,44.9,16,45.3,85.508,3.3709,0.12
dACF200_2,dACF200,5.42,18.6,7,15.72,4.88,0.57,54.5,12,44.1,43.745,12.1882,0.216
dACF200_3,dACF200,5.36,19.2,7,9.37,4.77,0.66,39,14,48,91.427,20.7761,0.547
dACF200_4,dACF200,5.47,18.7,5,13.43,5.42,0.6,49.5,12,47.7,60.186,17.859,0.184
dACF200_5,dACF200,5.46,16.2,6,9.28,5.22,0.8,48.9,14,42.1,92.741,7.2393,1.196
eACK_1,eACK,5.46,33.4,5,10.11,6.37,0.72,53.4,11,50.9,0,2.1137,0.355
eACK_2,eACK,5.55,22.5,7,13.16,6.27,0.54,44.9,13,46.8,0.022,4.5706,0.263
eACK_3,eACK,5.48,19.5,5,11.38,5.87,0.57,31.5,14,49.1,0,4.8356,0.56
eACK_4,eACK,5.47,27,5,9.66,5.66,0.53,45.5,14,47.6,0,1.457,0.322
eACK_5,eACK,5.46,8.7,5,10.2,5.81,0.52,29.2,15,44.3,0,1.9143,0.641
