Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
STANDARD 1,,Nitrate 2,0.0016,mg N/L,0.001576,Fri Aug 11 12:17:22 2023,1,1
STANDARD 90,,Nitrate 2,0.0127,mg N/L,0.012718,Fri Aug 11 12:19:25 2023,1,1
STANDARD 91,,Nitrate 2,0.0298,mg N/L,0.029841,Fri Aug 11 12:21:27 2023,1,1
STANDARD 92,,Nitrate 2,0.0581,mg N/L,0.058118,Fri Aug 11 12:23:29 2023,1,1
STANDARD 93,,Nitrate 2,0.1466,mg N/L,0.146626,Fri Aug 11 12:25:31 2023,1,1
STANDARD 94,,Nitrate 2,0.2905,mg N/L,0.29047,Fri Aug 11 12:27:32 2023,1,1
STANDARD 95,,Nitrate 2,0.5166,mg N/L,0.516598,Fri Aug 11 12:29:34 2023,1,1
STANDARD 0,,Nitrate 2,0.0033,mg N/L,0.003277,Fri Aug 11 12:31:36 2023,1,1
C C V,,Nitrate 2,1.0203,mg N/L,0.273822,Fri Aug 11 12:33:38 2023,1,1
C C B ,,Nitrate 2,-0.0214,mg N/L,0.002289,Fri Aug 11 12:35:40 2023,1,1
a21,,Nitrate 2,46.1808,mg N/L,0.248609,Fri Aug 11 17:39:55 2023,1,50
a22,,Nitrate 2,47.0712,mg N/L,0.253251,Fri Aug 11 17:40:50 2023,1,50
a23,,Nitrate 2,7.8084,mg N/L,0.211393,Fri Aug 11 15:28:49 2023,1,10
a24,,Nitrate 2,24.8035,mg N/L,0.369915,Fri Aug 11 16:03:45 2023,1,17.86
a25,,Nitrate 2,17.0342,mg N/L,0.451872,Fri Aug 11 15:32:57 2023,1,10
b21,,Nitrate 2,31.0848,mg N/L,0.461604,Fri Aug 11 16:04:39 2023,1,17.86
b22,,Nitrate 2,44.4674,mg N/L,0.239677,Fri Aug 11 17:41:45 2023,1,50
b23,,Nitrate 2,11.1915,mg N/L,0.299578,Fri Aug 11 15:35:40 2023,1,10
b24,,Nitrate 2,17.6688,mg N/L,0.468414,Fri Aug 11 15:36:35 2023,1,10
b25,,Nitrate 2,16.2152,mg N/L,0.430526,Fri Aug 11 15:37:29 2023,1,10
C C V,,Nitrate 2,1.0099,mg N/L,0.271098,Fri Aug 11 12:49:06 2023,1,1
C C B ,,Nitrate 2,-0.0194,mg N/L,0.0028,Fri Aug 11 12:50:01 2023,1,1
