  	          	          	                    	   	Si   	    	Na  	    	Mg   	    	Al  	    	P   	    	K    	    	Ca   	    	Fe  	    	Cl   	    	SiO2 	    	Ag     	    	Cu	    	Mn 	    	S    	    	Zn 	    	
Nr	Ident     	Seq       	Time                	Pos	C    	Unit	C   	Unit	C    	Unit	C   	Unit	C   	Unit	C    	Unit	C    	Unit	C   	Unit	C    	Unit	C    	Unit	C      	Unit	C 	Unit	C  	Unit	C    	Unit	C  	Unit	
1 	A24 L     	1 of 1    	11-Jan-2024 11:50:44	1  	0.176	%   	2955	ppm 	1099 	ppm 	28  	ppm 	2611	ppm 	21212	ppm 	10752	ppm 	78  	ppm 	22397	ppm 	0.38 	%   	391.375	cps 	6 	ppm 	61 	ppm 	2631 	ppm 	64 	ppm 	
2 	A1 L      	1 of 1    	11-Jan-2024 12:01:54	2  	0.148	%   	2366	ppm 	1284 	ppm 	-112	ppm 	2671	ppm 	32253	ppm 	8555 	ppm 	-401	ppm 	17717	ppm 	0.32 	%   	352.635	cps 	4 	ppm 	471	ppm 	1849 	ppm 	130	ppm 	
3 	a24_L     	1 of 1    	11-Jan-2024 12:37:07	1  	0.168	%   	2884	ppm 	1151 	ppm 	39  	ppm 	2586	ppm 	21142	ppm 	10768	ppm 	81  	ppm 	22122	ppm 	0.36 	%   	437.594	cps 	6 	ppm 	60 	ppm 	2569 	ppm 	59 	ppm 	
4 	A1_L      	1 of 1    	11-Jan-2024 12:43:32	2  	0.149	%   	2330	ppm 	1234 	ppm 	-135	ppm 	2613	ppm 	32841	ppm 	8688 	ppm 	-391	ppm 	17626	ppm 	0.32 	%   	343.864	cps 	5 	ppm 	461	ppm 	1820 	ppm 	131	ppm 	
5 	B2_L      	1 of 1    	11-Jan-2024 13:21:38	1  	0.757	%   	5825	ppm 	-41  	ppm 	121 	ppm 	2350	ppm 	16826	ppm 	4813 	ppm 	-10 	ppm 	44688	ppm 	1.62 	%   	289.484	cps 	4 	ppm 	156	ppm 	3851 	ppm 	106	ppm 	
6 	B4_L      	1 of 1    	11-Jan-2024 13:28:03	2  	0.629	%   	5467	ppm 	27   	ppm 	72  	ppm 	2500	ppm 	23501	ppm 	3782 	ppm 	-8  	ppm 	42364	ppm 	1.35 	%   	243.434	cps 	4 	ppm 	146	ppm 	3159 	ppm 	117	ppm 	
7 	B5_L      	1 of 1    	11-Jan-2024 13:34:53	3  	1.771	%   	5061	ppm 	167  	ppm 	251 	ppm 	1991	ppm 	18571	ppm 	4720 	ppm 	330 	ppm 	40370	ppm 	3.79 	%   	319.064	cps 	4 	ppm 	190	ppm 	2923 	ppm 	143	ppm 	
8 	B7_L      	1 of 1    	11-Jan-2024 13:41:43	4  	0.829	%   	8105	ppm 	-639 	ppm 	155 	ppm 	3403	ppm 	17635	ppm 	10933	ppm 	-247	ppm 	61116	ppm 	1.77 	%   	332.622	cps 	6 	ppm 	435	ppm 	7549 	ppm 	184	ppm 	
9 	B8_L      	1 of 1    	11-Jan-2024 13:48:34	5  	0.516	%   	2891	ppm 	902  	ppm 	-60 	ppm 	3376	ppm 	27929	ppm 	4602 	ppm 	-113	ppm 	22383	ppm 	1.10 	%   	346.840	cps 	6 	ppm 	220	ppm 	3010 	ppm 	78 	ppm 	
10	B9_L      	1 of 1    	11-Jan-2024 13:55:25	6  	0.920	%   	9385	ppm 	-995 	ppm 	169 	ppm 	3915	ppm 	18211	ppm 	12184	ppm 	-386	ppm 	69272	ppm 	1.97 	%   	344.437	cps 	6 	ppm 	607	ppm 	9408 	ppm 	209	ppm 	
11	B10_L     	1 of 1    	11-Jan-2024 14:02:16	7  	0.652	%   	9044	ppm 	-1041	ppm 	153 	ppm 	3910	ppm 	18640	ppm 	11698	ppm 	-202	ppm 	67126	ppm 	1.39 	%   	336.310	cps 	5 	ppm 	373	ppm 	9516 	ppm 	205	ppm 	
12	B11_L     	1 of 1    	11-Jan-2024 14:09:06	8  	0.757	%   	5579	ppm 	157  	ppm 	31  	ppm 	2341	ppm 	25725	ppm 	3511 	ppm 	83  	ppm 	42471	ppm 	1.62 	%   	338.773	cps 	4 	ppm 	81 	ppm 	5747 	ppm 	70 	ppm 	
13	B13_L     	1 of 1    	11-Jan-2024 14:15:57	9  	0.940	%   	4512	ppm 	527  	ppm 	76  	ppm 	1930	ppm 	23801	ppm 	4224 	ppm 	80  	ppm 	34965	ppm 	2.01 	%   	310.924	cps 	5 	ppm 	95 	ppm 	7828 	ppm 	51 	ppm 	
14	B14_L     	1 of 1    	11-Jan-2024 14:22:48	10 	2.655	%   	4524	ppm 	651  	ppm 	319 	ppm 	1679	ppm 	16524	ppm 	8675 	ppm 	822 	ppm 	35314	ppm 	5.68 	%   	374.108	cps 	5 	ppm 	180	ppm 	14797	ppm 	232	ppm 	
15	B15_L     	1 of 1    	11-Jan-2024 15:33:48	1  	1.283	%   	4300	ppm 	721  	ppm 	175 	ppm 	986 	ppm 	15103	ppm 	5085 	ppm 	204 	ppm 	33353	ppm 	2.74 	%   	370.892	cps 	5 	ppm 	92 	ppm 	7356 	ppm 	72 	ppm 	
16	B16_L     	1 of 1    	11-Jan-2024 15:40:14	2  	0.852	%   	4004	ppm 	979  	ppm 	4   	ppm 	1791	ppm 	27867	ppm 	4759 	ppm 	-46 	ppm 	30676	ppm 	1.82 	%   	332.288	cps 	4 	ppm 	195	ppm 	11566	ppm 	89 	ppm 	
17	B18_L     	1 of 1    	11-Jan-2024 15:47:05	3  	0.726	%   	4273	ppm 	647  	ppm 	-19 	ppm 	1735	ppm 	27754	ppm 	3325 	ppm 	71  	ppm 	33013	ppm 	1.55 	%   	337.061	cps 	4 	ppm 	103	ppm 	7559 	ppm 	78 	ppm 	
18	B19_L     	1 of 1    	11-Jan-2024 15:53:56	4  	0.797	%   	4539	ppm 	476  	ppm 	-4  	ppm 	1667	ppm 	26109	ppm 	3256 	ppm 	51  	ppm 	34973	ppm 	1.71 	%   	383.500	cps 	4 	ppm 	112	ppm 	7040 	ppm 	60 	ppm 	
19	B20_L     	1 of 1    	11-Jan-2024 16:00:47	5  	0.165	%   	1587	ppm 	1596 	ppm 	-74 	ppm 	2242	ppm 	28494	ppm 	11561	ppm 	-61 	ppm 	11905	ppm 	0.35 	%   	322.438	cps 	5 	ppm 	163	ppm 	3508 	ppm 	117	ppm 	
20	B21_L     	1 of 1    	11-Jan-2024 16:07:37	6  	1.398	%   	4841	ppm 	338  	ppm 	129 	ppm 	3456	ppm 	19304	ppm 	4373 	ppm 	387 	ppm 	38221	ppm 	2.99 	%   	288.731	cps 	5 	ppm 	63 	ppm 	5309 	ppm 	44 	ppm 	
21	B22_L     	1 of 1    	11-Jan-2024 16:14:29	7  	1.131	%   	3758	ppm 	766  	ppm 	121 	ppm 	2885	ppm 	17254	ppm 	2644 	ppm 	137 	ppm 	30112	ppm 	2.42 	%   	287.111	cps 	4 	ppm 	63 	ppm 	3806 	ppm 	30 	ppm 	
22	B23_L     	1 of 1    	11-Jan-2024 16:21:20	8  	1.442	%   	3889	ppm 	706  	ppm 	144 	ppm 	3335	ppm 	18522	ppm 	3359 	ppm 	242 	ppm 	31042	ppm 	3.09 	%   	357.558	cps 	4 	ppm 	101	ppm 	5655 	ppm 	36 	ppm 	
23	B24_L     	1 of 1    	11-Jan-2024 16:28:11	9  	1.606	%   	6864	ppm 	-153 	ppm 	234 	ppm 	2299	ppm 	9634 	ppm 	6968 	ppm 	370 	ppm 	53184	ppm 	3.44 	%   	346.316	cps 	5 	ppm 	54 	ppm 	5629 	ppm 	62 	ppm 	
24	B25_L     	1 of 1    	11-Jan-2024 16:35:02	10 	1.747	%   	4272	ppm 	518  	ppm 	243 	ppm 	2860	ppm 	14256	ppm 	5165 	ppm 	418 	ppm 	35547	ppm 	3.74 	%   	296.793	cps 	5 	ppm 	72 	ppm 	6520 	ppm 	50 	ppm 	
25	B1_L      	1 of 1    	11-Jan-2024 16:48:06	1  	0.728	%   	5376	ppm 	38   	ppm 	127 	ppm 	2117	ppm 	16480	ppm 	4282 	ppm 	34  	ppm 	41675	ppm 	1.56 	%   	322.153	cps 	4 	ppm 	139	ppm 	2782 	ppm 	127	ppm 	
26	B6_L      	1 of 1    	11-Jan-2024 16:54:32	2  	0.775	%   	9472	ppm 	-1074	ppm 	197 	ppm 	3816	ppm 	19169	ppm 	9706 	ppm 	-134	ppm 	69401	ppm 	1.66 	%   	316.943	cps 	6 	ppm 	373	ppm 	8588 	ppm 	155	ppm 	
27	B17_L     	1 of 1    	11-Jan-2024 17:01:23	3  	1.012	%   	5127	ppm 	361  	ppm 	5   	ppm 	1919	ppm 	29530	ppm 	3708 	ppm 	151 	ppm 	39626	ppm 	2.16 	%   	362.597	cps 	5 	ppm 	87 	ppm 	8511 	ppm 	62 	ppm 	
28	B20_L     	1 of 1    	11-Jan-2024 17:08:15	4  	0.580	%   	4705	ppm 	462  	ppm 	-57 	ppm 	1909	ppm 	30669	ppm 	2556 	ppm 	61  	ppm 	36921	ppm 	1.24 	%   	331.121	cps 	4 	ppm 	78 	ppm 	5133 	ppm 	54 	ppm 	
29	B3_L      	1 of 1    	11-Jan-2024 17:15:06	5  	0.677	%   	5525	ppm 	36   	ppm 	68  	ppm 	2106	ppm 	23020	ppm 	4101 	ppm 	-2  	ppm 	42596	ppm 	1.45 	%   	304.291	cps 	4 	ppm 	143	ppm 	3447 	ppm 	80 	ppm 	
30	B13_R     	1 of 1    	11-Jan-2024 17:21:57	6  	5.186	%   	-99 	ppm 	1587 	ppm 	898 	ppm 	820 	ppm 	4920 	ppm 	1836 	ppm 	2305	ppm 	6298 	ppm 	11.09	%   	342.120	cps 	9 	ppm 	214	ppm 	554  	ppm 	177	ppm 	
31	B7_R      	1 of 1    	11-Jan-2024 17:28:48	7  	7.596	%   	-783	ppm 	1606 	ppm 	1152	ppm 	104 	ppm 	219  	ppm 	2323 	ppm 	1687	ppm 	3835 	ppm 	16.25	%   	352.351	cps 	9 	ppm 	499	ppm 	-562 	ppm 	187	ppm 	
32	B11_R     	1 of 1    	11-Jan-2024 17:35:39	8  	2.522	%   	405 	ppm 	1560 	ppm 	568 	ppm 	1223	ppm 	4768 	ppm 	1702 	ppm 	783 	ppm 	7541 	ppm 	5.39 	%   	321.099	cps 	7 	ppm 	121	ppm 	940  	ppm 	176	ppm 	
33	B2_R      	1 of 1    	11-Jan-2024 17:42:30	9  	4.348	%   	464 	ppm 	1480 	ppm 	1269	ppm 	1200	ppm 	5930 	ppm 	1279 	ppm 	1553	ppm 	8631 	ppm 	9.30 	%   	424.577	cps 	7 	ppm 	246	ppm 	329  	ppm 	177	ppm 	
34	B23_R     	1 of 1    	11-Jan-2024 17:49:21	10 	1.959	%   	412 	ppm 	1534 	ppm 	379 	ppm 	1493	ppm 	6189 	ppm 	1568 	ppm 	602 	ppm 	6878 	ppm 	4.19 	%   	329.794	cps 	10	ppm 	72 	ppm 	1453 	ppm 	202	ppm 	
35	B4_R      	1 of 1    	11-Jan-2024 18:15:08	1  	6.637	%   	-296	ppm 	1513 	ppm 	1234	ppm 	640 	ppm 	2873 	ppm 	1077 	ppm 	1736	ppm 	6400 	ppm 	14.20	%   	418.292	cps 	7 	ppm 	187	ppm 	-200 	ppm 	169	ppm 	
36	B1_R      	1 of 1    	11-Jan-2024 18:21:35	2  	5.072	%   	-87 	ppm 	1573 	ppm 	978 	ppm 	1083	ppm 	3208 	ppm 	1371 	ppm 	1979	ppm 	6003 	ppm 	10.85	%   	416.954	cps 	8 	ppm 	232	ppm 	204  	ppm 	232	ppm 	
37	B6_R      	1 of 1    	11-Jan-2024 18:28:26	3  	3.615	%   	721 	ppm 	1363 	ppm 	685 	ppm 	1069	ppm 	1030 	ppm 	4080 	ppm 	1204	ppm 	10055	ppm 	7.73 	%   	433.718	cps 	11	ppm 	660	ppm 	624  	ppm 	222	ppm 	
38	B5_R      	1 of 1    	11-Jan-2024 18:35:17	4  	2.909	%   	570 	ppm 	1454 	ppm 	778 	ppm 	1557	ppm 	4248 	ppm 	1637 	ppm 	1136	ppm 	8144 	ppm 	6.22 	%   	468.178	cps 	9 	ppm 	174	ppm 	1000 	ppm 	119	ppm 	
39	B9_R      	1 of 1    	11-Jan-2024 18:42:08	5  	4.600	%   	-250	ppm 	1601 	ppm 	758 	ppm 	907 	ppm 	-125 	ppm 	3095 	ppm 	1347	ppm 	4015 	ppm 	9.84 	%   	408.659	cps 	10	ppm 	764	ppm 	422  	ppm 	220	ppm 	
40	B22_R     	1 of 1    	11-Jan-2024 18:48:59	6  	2.368	%   	215 	ppm 	1569 	ppm 	567 	ppm 	1381	ppm 	4408 	ppm 	1156 	ppm 	993 	ppm 	5367 	ppm 	5.06 	%   	446.073	cps 	8 	ppm 	79 	ppm 	386  	ppm 	103	ppm 	
41	B21_R     	1 of 1    	11-Jan-2024 19:40:51	1  	3.273	%   	382 	ppm 	1477 	ppm 	593 	ppm 	1346	ppm 	4981 	ppm 	1507 	ppm 	804 	ppm 	6880 	ppm 	7.00 	%   	367.742	cps 	9 	ppm 	115	ppm 	1160 	ppm 	153	ppm 	
42	B18_R     	1 of 1    	11-Jan-2024 19:47:17	2  	3.159	%   	210 	ppm 	1579 	ppm 	922 	ppm 	690 	ppm 	3869 	ppm 	2302 	ppm 	1973	ppm 	6167 	ppm 	6.76 	%   	431.524	cps 	8 	ppm 	157	ppm 	813  	ppm 	112	ppm 	
43	B3_R      	1 of 1    	11-Jan-2024 19:54:08	3  	5.017	%   	182 	ppm 	1484 	ppm 	824 	ppm 	1347	ppm 	3552 	ppm 	1358 	ppm 	1872	ppm 	6982 	ppm 	10.73	%   	548.335	cps 	8 	ppm 	211	ppm 	592  	ppm 	194	ppm 	
44	B17_R     	1 of 1    	11-Jan-2024 20:00:59	4  	3.700	%   	-51 	ppm 	1618 	ppm 	608 	ppm 	516 	ppm 	1961 	ppm 	2327 	ppm 	1709	ppm 	4377 	ppm 	7.91 	%   	456.021	cps 	9 	ppm 	179	ppm 	673  	ppm 	184	ppm 	
45	B12_R     	1 of 1    	11-Jan-2024 20:07:50	5  	4.380	%   	-77 	ppm 	1639 	ppm 	830 	ppm 	732 	ppm 	3301 	ppm 	1871 	ppm 	1701	ppm 	4969 	ppm 	9.37 	%   	536.099	cps 	10	ppm 	146	ppm 	624  	ppm 	148	ppm 	
46	B12_L     	1 of 1    	11-Jan-2024 20:14:41	6  	0.912	%   	5440	ppm 	308  	ppm 	56  	ppm 	1566	ppm 	20342	ppm 	5364 	ppm 	36  	ppm 	40993	ppm 	1.95 	%   	368.510	cps 	4 	ppm 	96 	ppm 	7371 	ppm 	58 	ppm 	
47	B20_R     	1 of 1    	11-Jan-2024 20:21:32	7  	4.379	%   	113 	ppm 	1609 	ppm 	1588	ppm 	464 	ppm 	4247 	ppm 	2437 	ppm 	3441	ppm 	5711 	ppm 	9.37 	%   	492.094	cps 	8 	ppm 	181	ppm 	503  	ppm 	94 	ppm 	
48	B16_R     	1 of 1    	11-Jan-2024 20:28:23	8  	0.345	%   	578 	ppm 	1745 	ppm 	286 	ppm 	2404	ppm 	14967	ppm 	2061 	ppm 	249 	ppm 	4241 	ppm 	0.74 	%   	576.096	cps 	6 	ppm 	116	ppm 	2020 	ppm 	97 	ppm 	
49	B11_R     	1 of 1    	11-Jan-2024 20:35:13	9  	3.608	%   	-22 	ppm 	1634 	ppm 	647 	ppm 	605 	ppm 	3632 	ppm 	2572 	ppm 	800 	ppm 	4074 	ppm 	7.72 	%   	413.431	cps 	9 	ppm 	332	ppm 	1553 	ppm 	134	ppm 	
50	B3_L      	1 of 1    	11-Jan-2024 20:42:04	10 	0.678	%   	5407	ppm 	130  	ppm 	60  	ppm 	2066	ppm 	23456	ppm 	4133 	ppm 	-2  	ppm 	41927	ppm 	1.45 	%   	307.720	cps 	4 	ppm 	144	ppm 	3324 	ppm 	84 	ppm 	
51	B14_R     	1 of 1    	13-Jan-2024 12:31:05	1  	8.369	%   	-631	ppm 	1654 	ppm 	1222	ppm 	-10 	ppm 	674  	ppm 	2097 	ppm 	3839	ppm 	4658 	ppm 	17.90	%   	550.854	cps 	11	ppm 	225	ppm 	-482 	ppm 	251	ppm 	
52	B10_R     	1 of 1    	13-Jan-2024 12:37:32	2  	6.405	%   	1830	ppm 	954  	ppm 	840 	ppm 	757 	ppm 	1872 	ppm 	5886 	ppm 	2403	ppm 	20827	ppm 	13.70	%   	448.260	cps 	11	ppm 	771	ppm 	300  	ppm 	284	ppm 	
53	B8_R      	1 of 1    	13-Jan-2024 12:44:23	3  	5.242	%   	-189	ppm 	1506 	ppm 	1013	ppm 	428 	ppm 	322  	ppm 	3075 	ppm 	1808	ppm 	6115 	ppm 	11.21	%   	349.086	cps 	12	ppm 	409	ppm 	131  	ppm 	268	ppm 	
54	B19_R     	1 of 1    	13-Jan-2024 12:51:14	4  	5.252	%   	-80 	ppm 	1530 	ppm 	755 	ppm 	227 	ppm 	3287 	ppm 	2265 	ppm 	2528	ppm 	6535 	ppm 	11.23	%   	355.979	cps 	7 	ppm 	154	ppm 	550  	ppm 	91 	ppm 	
