Pot ID,Plant type,Block,Fertilizer type ,Dose  (N kg/ha),Application_method,Date,Action Item,Plant height,Stem count Ph,pH_30days,EC (dS/cm)_30days,Fresh Biomass(gm) (30days),Date,Action Item,pH_48days,EC (dS/cm)_48days,Date,Action Item,pH_56days,EC (uS/cm)_56days,Fresh.Biomass (gm)_56days_2ndSplitdose,Cholorphyll content (Spad)_56days,Date,Action Item,pH_65days,EC (uS/cm)_65days,Date,Action Item,pH_76days,EC (uS/cm)_76days,Cholorphyll_content (Spad)_76days,Date,Action Item,pH,EC (uS/cm),Cholorphyll_content (Spad),Fresh Biomass 
L4,L,1,UF,30,Split,20/09/2024,Before Fertilization ,,,5.33,0.35,4.7848,8/10/2024,after Fertilization first split dose ,5.23,1.2,16/10/2024,First clip (before second split dose),5.42,0.75,5.9048,41,25/10/2024,Measured ph and ec only ,5.32,0.85,6/11/2024,Measured ph and ec only ,5.67,0.85,41.73,16/11/2024,third clip (before third  split dose),5.67,0.85,41.73,9.379
L2,L,1,UF,10,Split,20/09/2024,Before Fertilization ,,,5.94,0.34,5.1,8/10/2024,after Fertilization first split dose ,5.32,1.21,16/10/2024,First clip (before second split dose),5.01,1.86,4.6214,42.8,25/10/2024,Measured ph and ec only ,4.91,1.96,6/11/2024,Measured ph and ec only ,5.9,1.96,43.53,16/11/2024,third clip (before third  split dose),5.9,1.96,43.53,8.393
L8,L,1,MF,30,One-time,20/09/2024,Before Fertilization ,,,5.54,0.32,4.79,8/10/2024,after Fertilization first split dose ,5.03,1.22,16/10/2024,First clip (before second split dose),5.26,1.74,5.69,37.5,25/10/2024,Measured ph and ec only ,5.16,1.84,6/11/2024,Measured ph and ec only ,6.02,1.91,38.23,16/11/2024,third clip (before third  split dose),6.02,1.91,38.23,10.203
L6,L,1,UF,50,Split,20/09/2024,Before Fertilization ,,,5.65,0.25,5.66,8/10/2024,after Fertilization first split dose ,5.12,1.3,16/10/2024,First clip (before second split dose),4.66,1.81,6.78,44.2,25/10/2024,Measured ph and ec only ,4.56,1.91,6/11/2024,Measured ph and ec only ,4.78,1.89,44.93,16/11/2024,third clip (before third  split dose),4.78,1.89,44.93,14.536
L9,L,1,MF,60,One-time,20/09/2024,Before Fertilization ,,,5.94,0.31,4.98,8/10/2024,after Fertilization first split dose ,5.11,1.08,16/10/2024,First clip (before second split dose),5.51,1.79,9.05,47.9,25/10/2024,Measured ph and ec only ,5.41,1.89,6/11/2024,Measured ph and ec only ,5.98,1.73,48.63,16/11/2024,third clip (before third  split dose),5.98,1.73,48.63,12.242
L5,L,1,UF,40,Split,20/09/2024,Before Fertilization ,,,5.68,0.32,5.3,8/10/2024,after Fertilization first split dose ,5.13,1.2,16/10/2024,First clip (before second split dose),5.59,1.63,8.43,45.1,25/10/2024,Measured ph and ec only ,5.49,1.73,6/11/2024,Measured ph and ec only ,4.8,1.76,45.83,16/11/2024,third clip (before third  split dose),4.8,1.76,45.83,16.278
L3,L,1,UF,20,Split,20/09/2024,Before Fertilization ,,,5.65,0.31,5.3,8/10/2024,after Fertilization first split dose ,5.43,1.21,16/10/2024,First clip (before second split dose),5.26,1.66,7.51,45.5,25/10/2024,Measured ph and ec only ,5.16,1.76,6/11/2024,Measured ph and ec only ,5.26,0.85,46.23,16/11/2024,third clip (before third  split dose),5.26,0.85,46.23,14.939
L1,L,1,None,0,Split,20/09/2024,Before Fertilization ,,,5.64,0.29,5.5,8/10/2024,after Fertilization first split dose ,5.05,1.23,16/10/2024,First clip (before second split dose),5.48,1.6,5.53,43.3,25/10/2024,Measured ph and ec only ,5.38,1.7,6/11/2024,Measured ph and ec only ,6.12,1.96,44.03,16/11/2024,third clip (before third  split dose),6.12,1.96,44.03,11.59
L7,L,1,UF,60,Split,20/09/2024,Before Fertilization ,,,5.78,0.28,4.98,8/10/2024,after Fertilization first split dose ,5.12,1.32,16/10/2024,First clip (before second split dose),4.49,1.52,5.63,37.7,25/10/2024,Measured ph and ec only ,4.39,1.62,6/11/2024,Measured ph and ec only ,5.01,1.84,38.43,16/11/2024,third clip (before third  split dose),5.01,1.84,38.43,8.019
L10,L,1,UF,30,One-time,20/09/2024,Before Fertilization ,,,5.79,0.24,4.7848,8/10/2024,after Fertilization first split dose ,4.76,1.43,16/10/2024,First clip (before second split dose),4.76,1.34,5.16,41.3,25/10/2024,Measured ph and ec only ,4.66,1.44,6/11/2024,Measured ph and ec only ,4.89,1.44,42.03,16/11/2024,third clip (before third  split dose),4.89,1.44,42.03,12.395
L6,L,2,UF,50,Split,20/09/2024,Before Fertilization ,,,5.48,0.2,5.1,8/10/2024,after Fertilization first split dose ,5.12,1.22,16/10/2024,First clip (before second split dose),4.78,1.81,6.84,41,25/10/2024,Measured ph and ec only ,4.68,1.91,6/11/2024,Measured ph and ec only ,4.75,1.76,49.8,16/11/2024,third clip (before third  split dose),4.75,1.76,49.8,15.091
L1,L,2,None,0,Split,20/09/2024,Before Fertilization ,,,5.78,0.3,4.79,8/10/2024,after Fertilization first split dose ,5.45,1.3,16/10/2024,First clip (before second split dose),5.51,1.79,6.74,42,25/10/2024,Measured ph and ec only ,5.41,1.89,6/11/2024,Measured ph and ec only ,6.35,0.85,42.8,16/11/2024,third clip (before third  split dose),6.35,0.85,42.8,11.275
L9,L,2,MF,60,One-time,20/09/2024,Before Fertilization ,,,5.68,0.23,5.66,8/10/2024,after Fertilization first split dose ,5.11,1.08,16/10/2024,First clip (before second split dose),5.42,1.63,5.78,39.9,25/10/2024,Measured ph and ec only ,5.32,1.73,6/11/2024,Measured ph and ec only ,5.95,1.96,43,16/11/2024,third clip (before third  split dose),5.95,1.96,43,11.239
L5,L,2,UF,40,Split,20/09/2024,Before Fertilization ,,,5.98,0.35,4.98,8/10/2024,after Fertilization first split dose ,5.14,1.2,16/10/2024,First clip (before second split dose),5.32,1.66,4.39,38.4,25/10/2024,Measured ph and ec only ,5.22,1.76,6/11/2024,Measured ph and ec only ,5.4,1.84,50.4,16/11/2024,third clip (before third  split dose),5.4,1.84,50.4,6.979
