Pot ID,Plant type,Block,Fertilizer type ,Dose  (N kg/ha),Application method,Date,Action Item,Plant height,Stem count Ph,pH_35days,EC (uS/cm)_35days,Fresh_Biomass (gm)_35days,Date,Action Item,pH_41days ,EC (uS/cm)_41days,Date,Action Item,pH_53days,EC (uS/cm)_53days,Date,Action Item,pH_66days,EC (uS/cm)_66days,Cholorphyll content (Spad)_66days,Fresh.Biomass(gm)_66days,Date,Action Item,pH_77days,EC (uS/cm)_77days,Date,Action Item,pH_87days,EC (uS/cm)_87days,Date,Action Item,pH_95days,EC (uS/cm)_95days,Cholorphyll_content_95days,Fresh.Biomass (gm)_95days
P4,L,1,UF,30,Split,3/09/2024,Before Fertilization ,32,2,6.4,0.2,6.7,8/09/2024,after fertilization,5.92,0.2,20/09/2024,after fertilization,6.02,0.2,3/10/2024,First clip (before second split dose),6.12,0.29,38.2,10.67,15/10/2024,Measured ph and ec only ,6.02,0.39,25/10/2024,Measured ph and ec only ,5.9,0.9,3/11/2024,third dose of split fertilizer ,6.1,1.87,39.55,17.54
P2,L,1,UF,10,Split,3/09/2024,Before Fertilization ,28,2,6.2,0.3,5.744,8/09/2024,after fertilization,5.77,0.21,20/09/2024,after fertilization,5.87,0.21,3/10/2024,First clip (before second split dose),5.97,0.3,36.2,7.044,15/10/2024,Measured ph and ec only ,5.87,0.4,25/10/2024,Measured ph and ec only ,5.75,2.01,3/11/2024,third dose of split fertilizer ,6.43,1.53,37.55,12.38
P8,L,1,MF,30,One-time,3/09/2024,Before Fertilization ,30,2,6.21,0.23,5.717,8/09/2024,after fertilization,5.58,0.221,20/09/2024,after fertilization,5.68,0.221,3/10/2024,First clip (before second split dose),5.78,0.212,35.1,7.017,15/10/2024,Measured ph and ec only ,5.68,0.312,25/10/2024,Measured ph and ec only ,5.56,1.89,3/11/2024,third dose of split fertilizer ,5.89,1.81,36.45,17.97
P6,L,1,UF,50,Split,3/09/2024,Before Fertilization ,34,2,6.31,0.35,6.32,8/09/2024,after fertilization,5.28,0.321,20/09/2024,after fertilization,5.38,0.321,3/10/2024,First clip (before second split dose),5.48,0.211,36.1,8.834,15/10/2024,Measured ph and ec only ,5.38,0.311,25/10/2024,Measured ph and ec only ,5.26,1.96,3/11/2024,third dose of split fertilizer ,5.4,1.92,37.45,19.15
P9,L,1,MF,60,One-time,3/09/2024,Before Fertilization ,30,2,6.24,0.32,6.98,8/09/2024,after fertilization,5.02,0.211,20/09/2024,after fertilization,5.12,0.211,3/10/2024,First clip (before second split dose),5.22,0.27,36,7.2502,15/10/2024,Measured ph and ec only ,5.12,0.37,25/10/2024,Measured ph and ec only ,5,1.94,3/11/2024,third dose of split fertilizer ,6.2,1.84,37.35,11.37
P5,L,1,UF,40,Split,3/09/2024,Before Fertilization ,29,2,6.28,0.35,6.41,8/09/2024,after fertilization,4.84,0.231,20/09/2024,after fertilization,4.94,0.231,3/10/2024,First clip (before second split dose),5.04,0.24,36.2,7.71,15/10/2024,Measured ph and ec only ,4.94,0.34,25/10/2024,Measured ph and ec only ,4.82,1.78,3/11/2024,third dose of split fertilizer ,5.6,2.39,37.55,18.52
P3,L,1,UF,20,Split,3/09/2024,Before Fertilization ,30,2,6.35,0.36,5.98,8/09/2024,after fertilization,4.48,0.211,20/09/2024,after fertilization,4.58,0.211,3/10/2024,First clip (before second split dose),4.68,0.22,36.5,8.88,15/10/2024,Measured ph and ec only ,4.58,0.32,25/10/2024,Measured ph and ec only ,4.46,1.81,3/11/2024,third dose of split fertilizer ,5.99,1.87,37.85,18.18
P1,L,1,UF,0,Split,3/09/2024,Before Fertilization ,24,2,6.34,0.29,6.33,8/09/2024,after fertilization,4.96,0.3,20/09/2024,after fertilization,5.06,0.3,3/10/2024,First clip (before second split dose),5.16,0.21,35.9,9.17,15/10/2024,Measured ph and ec only ,5.06,0.31,25/10/2024,Measured ph and ec only ,4.94,1.75,3/11/2024,third dose of split fertilizer ,6.45,1.9,37.25,12.19
P7,L,1,UF,60,Split,3/09/2024,Before Fertilization ,29,2,6.25,0.35,6.7,8/09/2024,after fertilization,5.01,0.231,20/09/2024,after fertilization,5.11,0.231,3/10/2024,First clip (before second split dose),5.21,0.212,35.9,9.1807,15/10/2024,Measured ph and ec only ,5.11,0.312,25/10/2024,Measured ph and ec only ,4.99,1.67,3/11/2024,third dose of split fertilizer ,5.22,1.78,37.25,18.64
P10,L,1,UF,30,One-time,3/09/2024,Before Fertilization ,32,2,6.12,0.36,5.744,8/09/2024,after fertilization,5.42,0.32,20/09/2024,after fertilization,5.52,0.32,3/10/2024,First clip (before second split dose),5.62,0.22,35.9,5.59,15/10/2024,Measured ph and ec only ,5.52,0.32,25/10/2024,Measured ph and ec only ,5.4,1.49,3/11/2024,third dose of split fertilizer ,6.11,1.57,37.25,14.61
P6,L,2,UF,50,Split,3/09/2024,Before Fertilization ,32,2,6.4,0.35,5.717,8/09/2024,after fertilization,5.75,0.29,20/09/2024,after fertilization,5.85,0.29,3/10/2024,First clip (before second split dose),5.95,0.2,35.6,9.9562,15/10/2024,Measured ph and ec only ,5.85,0.3,25/10/2024,Measured ph and ec only ,5.73,1.96,3/11/2024,third dose of split fertilizer ,5.45,1.98,36.95,19.26
